critical_role_id,position_id,worker_id,position_title,job_profile_id,supervisory_org_id,cost_center_id,criticality_level,business_impact,succession_required_flag,risk_if_vacant,target_successor_count,review_cycle
CR00000190,P00002546,W00002546,Consultant - Human Capital,JP000157,SO000642,CC000037,High,Client Delivery Continuity,True,High,3,Mid-Year Talent Review
CR00000191,P00000248,W00000248,Consultant - Audit Assurance,JP000266,SO002179,CC000683,Strategic,Regulatory / Compliance Risk,True,High,3,Annual Talent Review
CR00000192,P00003660,W00003660,Senior Manager - Cyber Risk,JP000061,SO000412,CC001703,High,Client Delivery Continuity,True,Severe,2,Annual Talent Review
CR00000193,P00004030,W00004030,Senior Consultant - Audit Assurance,JP000196,SO001529,CC000392,High,Client Delivery Continuity,True,High,3,Annual Talent Review
CR00000194,P00001116,W00001116,Consultant - Regulatory Risk,JP000152,SO001225,CC001960,Strategic,Revenue Continuity,True,Moderate,3,Annual Talent Review
CR00000195,P00002727,W00002727,Senior Manager - Data and Analytics,JP000146,SO002402,CC001111,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000196,P00001214,W00001214,Consultant - Data and Analytics,JP000465,SO000115,CC001925,High,Leadership Continuity,True,Severe,2,Annual Talent Review
CR00000197,P00002373,W00002373,Consultant - Operations,JP000330,SO000938,CC001081,Medium,Regional Coverage,True,Moderate,1,Annual Talent Review
CR00000198,P00004468,W00004468,Analyst - Human Resources,JP000107,SO000528,CC001213,Strategic,Enterprise Transformation,True,High,1,Mid-Year Talent Review
CR00000199,P00003487,W00003487,Consultant - Strategy Consulting,JP000400,SO001099,CC001328,High,Leadership Continuity,True,Severe,2,Annual Talent Review
CR00000200,P00000579,W00000579,Consultant - Audit Assurance,JP000491,SO002415,CC002199,High,Operational Resilience,True,High,2,Annual Talent Review
CR00000201,P00004568,W00004568,Consultant - Strategy Consulting,JP000179,SO000891,CC001434,Medium,Specialized Knowledge Retention,True,Severe,2,Annual Talent Review
CR00000202,P00000115,W00000115,Consultant - Data and Analytics,JP000118,SO000451,CC001844,Strategic,Regulatory / Compliance Risk,True,High,2,Annual Talent Review
CR00000203,P00002806,W00002806,Senior Consultant - Regulatory Risk,JP000452,SO001372,CC001510,Medium,Regional Coverage,True,High,2,Annual Talent Review
CR00000204,P00003697,W00003697,Analyst - Operations,JP000405,SO002381,CC002474,High,Client Delivery Continuity,True,High,3,Annual Talent Review
CR00000205,P00002909,W00002909,Analyst - Corporate Tax,JP000406,SO000143,CC001791,High,Leadership Continuity,True,Severe,1,Annual Talent Review
CR00000206,P00004391,W00004391,Senior Consultant - Operations,JP000145,SO000867,CC000270,High,Operational Resilience,True,High,1,Annual Talent Review
CR00000207,P00001064,W00001064,Senior Manager - Information Technology,JP000256,SO001160,CC000855,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000208,P00003575,W00003575,Senior Consultant - Data and Analytics,JP000253,SO000427,CC000039,Medium,Process Stability,True,High,3,Annual Talent Review
CR00000209,P00004690,W00004690,Manager - Mergers and Acquisitions,JP000208,SO002222,CC001082,High,Operational Resilience,True,High,3,Annual Talent Review
CR00000210,P00002304,W00002304,Analyst - Strategy Consulting,JP000483,SO000968,CC001218,Medium,Process Stability,True,High,3,Annual Talent Review
CR00000211,P00000273,W00000273,Senior Consultant - Operations,JP000145,SO000821,CC001712,Medium,Specialized Knowledge Retention,True,High,3,Annual Talent Review
CR00000212,P00000057,W00000057,Consultant - Finance,JP000385,SO001864,CC000169,Medium,Specialized Knowledge Retention,True,Severe,2,Annual Talent Review
CR00000213,P00000859,W00000859,Consultant - Regulatory Risk,JP000152,SO002240,CC001992,High,Operational Resilience,True,High,2,Annual Talent Review
CR00000214,P00001267,W00001267,Senior Manager - Information Technology,JP000423,SO000890,CC001767,Strategic,Regulatory / Compliance Risk,True,High,2,Mid-Year Talent Review
CR00000215,P00002418,W00002418,Analyst - Information Technology,JP000442,SO002322,CC001758,Medium,Regional Coverage,True,High,2,Mid-Year Talent Review
CR00000216,P00003932,W00003932,Consultant - Mergers and Acquisitions,JP000461,SO000423,CC001556,Medium,Regional Coverage,True,High,3,Mid-Year Talent Review
CR00000217,P00001375,W00001375,Consultant - Regulatory Risk,JP000197,SO002005,CC000499,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000218,P00001120,W00001120,Consultant - Human Resources,JP000211,SO000764,CC002326,High,Leadership Continuity,True,Moderate,2,Annual Talent Review
CR00000219,P00001819,W00001819,Analyst - Cyber Risk,JP000034,SO000937,CC001881,Strategic,Regulatory / Compliance Risk,True,Moderate,2,Annual Talent Review
CR00000220,P00000029,W00000029,Analyst - Finance,JP000062,SO000650,CC002179,High,Client Delivery Continuity,True,High,1,Mid-Year Talent Review
CR00000221,P00000423,W00000423,Consultant - Technology Consulting,JP000227,SO000721,CC002410,High,Leadership Continuity,True,High,1,Mid-Year Talent Review
CR00000222,P00003727,W00003727,Analyst - Finance,JP000333,SO001911,CC000120,Medium,Regional Coverage,True,High,1,Mid-Year Talent Review
CR00000223,P00002970,W00002970,Senior Consultant - Operations,JP000009,SO001594,CC001418,Medium,Regional Coverage,True,Moderate,3,Mid-Year Talent Review
CR00000224,P00002430,W00002430,Senior Consultant - Data and Analytics,JP000345,SO000133,CC001934,Strategic,Revenue Continuity,True,High,2,Annual Talent Review
CR00000225,P00003747,W00003747,Analyst - Information Technology,JP000260,SO002110,CC000623,High,Client Delivery Continuity,True,Moderate,3,Mid-Year Talent Review
CR00000226,P00001773,W00001773,Analyst - Mergers and Acquisitions,JP000301,SO000456,CC000639,Strategic,Enterprise Transformation,True,High,2,Mid-Year Talent Review
CR00000227,P00004049,W00004049,Consultant - Operations,JP000110,SO000249,CC000995,High,Operational Resilience,True,Severe,1,Annual Talent Review
CR00000228,P00003246,W00003246,Manager - Human Capital,JP000532,SO000917,CC002019,Medium,Process Stability,True,Moderate,1,Mid-Year Talent Review
CR00000229,P00004917,W00004917,Analyst - Operations,JP000134,SO000579,CC001668,Medium,Process Stability,True,High,3,Annual Talent Review
CR00000230,P00004727,W00004727,Consultant - Data and Analytics,JP000026,SO001113,CC000098,High,Client Delivery Continuity,True,Moderate,2,Mid-Year Talent Review
CR00000231,P00001873,W00001873,Manager - Legal,JP000148,SO000900,CC001169,High,Leadership Continuity,True,High,3,Mid-Year Talent Review
CR00000232,P00001717,W00001717,Consultant - Technology Consulting,JP000213,SO000888,CC002233,High,Client Delivery Continuity,True,Moderate,1,Annual Talent Review
CR00000233,P00003998,W00003998,Analyst - Technology Consulting,JP000595,SO001621,CC002096,Strategic,Regulatory / Compliance Risk,True,High,2,Annual Talent Review
CR00000234,P00003906,W00003906,Senior Consultant - Operations,JP000354,SO001890,CC000854,Medium,Regional Coverage,True,High,3,Annual Talent Review
CR00000235,P00002044,W00002044,Senior Consultant - Regulatory Risk,JP000564,SO001905,CC000489,Strategic,Revenue Continuity,True,Severe,1,Mid-Year Talent Review
CR00000236,P00002992,W00002992,Analyst - Strategy Consulting,JP000456,SO000051,CC001117,Strategic,Regulatory / Compliance Risk,True,Moderate,2,Mid-Year Talent Review
CR00000237,P00000138,W00000138,Senior Consultant - Technology Consulting,JP000523,SO002245,CC002114,Medium,Regional Coverage,True,High,3,Annual Talent Review
CR00000238,P00004996,W00004996,Senior Consultant - Data and Analytics,JP000349,SO001626,CC000010,Medium,Process Stability,True,High,2,Mid-Year Talent Review
CR00000239,P00000650,W00000650,Manager - Finance,JP000220,SO001786,CC002358,High,Operational Resilience,True,Severe,2,Annual Talent Review
CR00000240,P00000325,W00000325,Senior Consultant - Operations,JP000421,SO001673,CC000363,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000241,P00000605,W00000605,Executive - Cyber Risk,JP000172,SO001549,CC000008,Strategic,Revenue Continuity,True,High,2,Annual Talent Review
CR00000242,P00004229,W00004229,Analyst - Information Technology,JP000075,SO001053,CC000703,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000243,P00000126,W00000126,Analyst - Audit Assurance,JP000360,SO000438,CC000333,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000244,P00000877,W00000877,Analyst - Technology Consulting,JP000111,SO002239,CC002030,Medium,Regional Coverage,True,Severe,2,Annual Talent Review
CR00000245,P00002141,W00002141,Consultant - Regulatory Risk,JP000197,SO000523,CC000589,Medium,Regional Coverage,True,High,3,Annual Talent Review
CR00000246,P00000613,W00000613,Manager - Corporate Tax,JP000092,SO000271,CC000985,Strategic,Enterprise Transformation,True,High,1,Annual Talent Review
CR00000247,P00002422,W00002422,Analyst - Data and Analytics,JP000597,SO001887,CC002399,Medium,Specialized Knowledge Retention,True,Moderate,1,Mid-Year Talent Review
CR00000248,P00000969,W00000969,Analyst - Information Technology,JP000033,SO000629,CC000870,High,Operational Resilience,True,High,2,Annual Talent Review
CR00000249,P00002682,W00002682,Consultant - Operations,JP000293,SO002211,CC000943,High,Client Delivery Continuity,True,Severe,3,Mid-Year Talent Review
CR00000250,P00002538,W00002538,Senior Consultant - Operations,JP000458,SO000624,CC001837,High,Leadership Continuity,True,High,1,Annual Talent Review
CR00000251,P00004865,W00004865,Analyst - Human Resources,JP000127,SO000381,CC001992,Medium,Process Stability,True,High,1,Annual Talent Review
CR00000252,P00001558,W00001558,Analyst - Human Resources,JP000318,SO000123,CC001018,Strategic,Regulatory / Compliance Risk,True,Severe,2,Annual Talent Review
CR00000253,P00004023,W00004023,Senior Manager - Strategy Consulting,JP000133,SO000238,CC001760,Medium,Process Stability,True,Severe,3,Annual Talent Review
CR00000254,P00001486,W00001486,Senior Manager - Finance,JP000409,SO001768,CC001800,High,Operational Resilience,True,High,1,Annual Talent Review
CR00000255,P00004801,W00004801,Manager - Technology Consulting,JP000387,SO001478,CC002192,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000256,P00000950,W00000950,Senior Consultant - Regulatory Risk,JP000060,SO000153,CC000769,Medium,Regional Coverage,True,High,2,Annual Talent Review
CR00000257,P00000140,W00000140,Senior Manager - Technology Consulting,JP000486,SO000037,CC001889,Strategic,Revenue Continuity,True,High,2,Annual Talent Review
CR00000258,P00001034,W00001034,Consultant - Cyber Risk,JP000576,SO000551,CC001738,High,Leadership Continuity,True,High,1,Annual Talent Review
CR00000259,P00000483,W00000483,Consultant - Mergers and Acquisitions,JP000052,SO001401,CC000805,High,Client Delivery Continuity,True,Moderate,1,Annual Talent Review
CR00000260,P00001790,W00001790,Senior Manager - Data and Analytics,JP000146,SO001071,CC001646,Medium,Regional Coverage,True,Severe,2,Mid-Year Talent Review
CR00000261,P00003686,W00003686,Analyst - Cyber Risk,JP000034,SO001167,CC001071,High,Operational Resilience,True,Severe,2,Annual Talent Review
CR00000262,P00000709,W00000709,Analyst - Cyber Risk,JP000209,SO000414,CC000609,Strategic,Enterprise Transformation,True,Severe,3,Mid-Year Talent Review
CR00000263,P00002867,W00002867,Senior Manager - Technology Consulting,JP000113,SO000558,CC000852,High,Client Delivery Continuity,True,Severe,2,Mid-Year Talent Review
CR00000264,P00004047,W00004047,Senior Manager - Cyber Risk,JP000136,SO000684,CC001752,High,Operational Resilience,True,High,2,Mid-Year Talent Review
CR00000265,P00002197,W00002197,Consultant - Mergers and Acquisitions,JP000292,SO000945,CC000072,Strategic,Enterprise Transformation,True,High,3,Mid-Year Talent Review
CR00000266,P00002547,W00002547,Analyst - Technology Consulting,JP000467,SO001943,CC001806,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000267,P00000020,W00000020,Senior Consultant - Technology Consulting,JP000523,SO002413,CC001770,High,Operational Resilience,True,High,2,Annual Talent Review
CR00000268,P00002443,W00002443,Consultant - Information Technology,JP000036,SO000148,CC001571,High,Client Delivery Continuity,True,High,3,Annual Talent Review
CR00000269,P00004920,W00004920,Consultant - Technology Consulting,JP000213,SO001272,CC001935,High,Operational Resilience,True,Moderate,1,Mid-Year Talent Review
CR00000270,P00004759,W00004759,Analyst - Strategy Consulting,JP000340,SO002229,CC000088,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000271,P00004729,W00004729,Analyst - Mergers and Acquisitions,JP000373,SO000588,CC001678,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000272,P00001294,W00001294,Manager - Regulatory Risk,JP000066,SO000834,CC001248,High,Operational Resilience,True,High,1,Mid-Year Talent Review
CR00000273,P00001890,W00001890,Senior Manager - Marketing,JP000016,SO001691,CC001230,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000274,P00004316,W00004316,Analyst - Marketing,JP000177,SO002488,CC001204,Medium,Regional Coverage,True,High,1,Annual Talent Review
CR00000275,P00002764,W00002764,Senior Consultant - Legal,JP000191,SO000680,CC001672,Medium,Process Stability,True,Moderate,1,Annual Talent Review
CR00000276,P00000128,W00000128,Analyst - Regulatory Risk,JP000093,SO000334,CC002480,High,Operational Resilience,True,Severe,2,Annual Talent Review
CR00000277,P00002934,W00002934,Senior Consultant - Human Resources,JP000124,SO000356,CC001463,High,Operational Resilience,True,Severe,2,Annual Talent Review
CR00000278,P00001373,W00001373,Analyst - Legal,JP000430,SO000872,CC002258,Medium,Regional Coverage,True,Moderate,2,Mid-Year Talent Review
CR00000279,P00004674,W00004674,Analyst - Technology Consulting,JP000287,SO001556,CC001392,Strategic,Regulatory / Compliance Risk,True,Moderate,3,Annual Talent Review
CR00000280,P00004117,W00004117,Manager - Audit Assurance,JP000571,SO001252,CC000293,Strategic,Regulatory / Compliance Risk,True,High,3,Annual Talent Review
CR00000281,P00001898,W00001898,Analyst - Audit Assurance,JP000588,SO001661,CC000038,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000282,P00003203,W00003203,Executive - Regulatory Risk,JP000388,SO002268,CC001695,High,Leadership Continuity,True,Severe,2,Annual Talent Review
CR00000283,P00003283,W00003283,Senior Consultant - Operations,JP000421,SO001679,CC000439,High,Operational Resilience,True,Moderate,2,Annual Talent Review
CR00000284,P00000755,W00000755,Analyst - Audit Assurance,JP000295,SO001956,CC000669,High,Operational Resilience,True,High,1,Mid-Year Talent Review
CR00000285,P00004135,W00004135,Analyst - Information Technology,JP000171,SO000614,CC000919,Medium,Process Stability,True,Moderate,3,Mid-Year Talent Review
CR00000286,P00003811,W00003811,Senior Manager - Human Resources,JP000076,SO000464,CC000441,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000287,P00001151,W00001151,Analyst - Cyber Risk,JP000371,SO001000,CC001078,High,Operational Resilience,True,Severe,1,Annual Talent Review
CR00000288,P00000516,W00000516,Consultant - Data and Analytics,JP000088,SO000900,CC001169,High,Leadership Continuity,True,Moderate,3,Annual Talent Review
CR00000289,P00003341,W00003341,Senior Consultant - Technology Consulting,JP000546,SO001651,CC001684,Medium,Regional Coverage,True,Moderate,2,Annual Talent Review
CR00000290,P00003161,W00003161,Analyst - Operations,JP000364,SO000241,CC001913,High,Client Delivery Continuity,True,High,1,Annual Talent Review
CR00000291,P00004673,W00004673,Consultant - Human Capital,JP000263,SO000051,CC001117,Strategic,Revenue Continuity,True,High,1,Annual Talent Review
CR00000292,P00004390,W00004390,Analyst - Information Technology,JP000260,SO000606,CC001939,High,Client Delivery Continuity,True,Severe,2,Annual Talent Review
CR00000293,P00002772,W00002772,Manager - Human Capital,JP000087,SO001255,CC000125,Strategic,Regulatory / Compliance Risk,True,Severe,2,Mid-Year Talent Review
CR00000294,P00002204,W00002204,Analyst - Finance,JP000049,SO001602,CC001147,High,Leadership Continuity,True,Moderate,1,Annual Talent Review
CR00000295,P00000296,W00000296,Senior Consultant - Operations,JP000009,SO001986,CC000037,Strategic,Enterprise Transformation,True,Moderate,3,Mid-Year Talent Review
CR00000296,P00001695,W00001695,Consultant - Marketing,JP000067,SO000116,CC001801,Strategic,Revenue Continuity,True,High,3,Annual Talent Review
CR00000297,P00003041,W00003041,Analyst - Cyber Risk,JP000034,SO000935,CC001723,Strategic,Regulatory / Compliance Risk,True,High,3,Mid-Year Talent Review
CR00000298,P00001334,W00001334,Consultant - Technology Consulting,JP000213,SO000956,CC001251,Strategic,Regulatory / Compliance Risk,True,Severe,1,Annual Talent Review
CR00000299,P00000099,W00000099,Analyst - Human Capital,JP000290,SO002233,CC002001,Medium,Specialized Knowledge Retention,True,High,1,Annual Talent Review
CR00000300,P00003344,W00003344,Consultant - Data and Analytics,JP000088,SO001275,CC000059,Medium,Regional Coverage,True,Moderate,3,Mid-Year Talent Review
CR00000301,P00000832,W00000832,Senior Consultant - Cyber Risk,JP000435,SO000304,CC001365,Medium,Regional Coverage,True,Severe,2,Mid-Year Talent Review
CR00000302,P00003442,W00003442,Senior Consultant - Human Capital,JP000489,SO001166,CC000124,High,Operational Resilience,True,Moderate,2,Annual Talent Review
CR00000303,P00004431,W00004431,Analyst - Legal,JP000347,SO002298,CC001559,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000304,P00001444,W00001444,Consultant - Data and Analytics,JP000465,SO001727,CC001213,Medium,Specialized Knowledge Retention,True,High,1,Annual Talent Review
CR00000305,P00000587,W00000587,Consultant - Marketing,JP000269,SO000266,CC001882,Strategic,Regulatory / Compliance Risk,True,High,2,Annual Talent Review
CR00000306,P00000327,W00000327,Analyst - Information Technology,JP000171,SO000268,CC000329,Medium,Specialized Knowledge Retention,True,High,3,Annual Talent Review
CR00000307,P00000637,W00000637,Senior Consultant - Data and Analytics,JP000426,SO000147,CC000998,High,Client Delivery Continuity,True,High,2,Mid-Year Talent Review
CR00000308,P00001099,W00001099,Analyst - Finance,JP000168,SO001548,CC001550,Medium,Specialized Knowledge Retention,True,Severe,2,Annual Talent Review
CR00000309,P00003704,W00003704,Director - Marketing,JP000302,SO000027,CC002356,High,Client Delivery Continuity,True,Severe,3,Annual Talent Review
CR00000310,P00000907,W00000907,Analyst - Operations,JP000304,SO000969,CC001399,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000311,P00000682,W00000682,Senior Consultant - Legal,JP000070,SO001516,CC001591,Medium,Regional Coverage,True,Moderate,2,Annual Talent Review
CR00000312,P00003458,W00003458,Analyst - Information Technology,JP000528,SO001254,CC002184,High,Leadership Continuity,True,High,3,Annual Talent Review
CR00000313,P00002364,W00002364,Manager - Strategy Consulting,JP000386,SO002183,CC001782,High,Client Delivery Continuity,True,Severe,2,Annual Talent Review
CR00000314,P00004524,W00004524,Analyst - Strategy Consulting,JP000022,SO001137,CC001275,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000315,P00004629,W00004629,Consultant - Legal,JP000505,SO002103,CC000505,High,Client Delivery Continuity,True,High,1,Annual Talent Review
CR00000316,P00000648,W00000648,Senior Consultant - Regulatory Risk,JP000060,SO002141,CC001331,High,Operational Resilience,True,High,1,Mid-Year Talent Review
CR00000317,P00002048,W00002048,Consultant - Finance,JP000096,SO000530,CC000457,High,Client Delivery Continuity,True,Moderate,2,Annual Talent Review
CR00000318,P00004574,W00004574,Senior Consultant - Information Technology,JP000417,SO000942,CC001923,Medium,Process Stability,True,High,2,Mid-Year Talent Review
CR00000319,P00004242,W00004242,Senior Consultant - Operations,JP000343,SO001320,CC000381,High,Operational Resilience,True,High,2,Annual Talent Review
CR00000320,P00000795,W00000795,Manager - Cyber Risk,JP000025,SO001417,CC002270,Strategic,Regulatory / Compliance Risk,True,High,2,Annual Talent Review
CR00000321,P00002821,W00002821,Senior Manager - Mergers and Acquisitions,JP000399,SO002125,CC000276,Strategic,Revenue Continuity,True,Severe,2,Annual Talent Review
CR00000322,P00000583,W00000583,Executive - Legal,JP000001,SO000043,CC002102,Medium,Regional Coverage,True,Severe,3,Annual Talent Review
CR00000323,P00001281,W00001281,Senior Consultant - Operations,JP000341,SO000678,CC000343,High,Leadership Continuity,True,High,1,Annual Talent Review
CR00000324,P00003412,W00003412,Analyst - Operations,JP000153,SO000432,CC000420,Medium,Regional Coverage,True,High,2,Annual Talent Review
CR00000325,P00000677,W00000677,Senior Consultant - Cyber Risk,JP000164,SO001221,CC002166,Strategic,Regulatory / Compliance Risk,True,High,2,Annual Talent Review
CR00000326,P00001501,W00001501,Manager - Technology Consulting,JP000141,SO000520,CC002357,Medium,Process Stability,True,Severe,2,Annual Talent Review
CR00000327,P00002482,W00002482,Manager - Data and Analytics,JP000189,SO000444,CC001185,Strategic,Revenue Continuity,True,High,1,Annual Talent Review
CR00000328,P00000189,W00000189,Analyst - Legal,JP000284,SO002332,CC001882,Medium,Process Stability,True,Severe,2,Annual Talent Review
CR00000329,P00001124,W00001124,Analyst - Regulatory Risk,JP000032,SO001677,CC002437,Medium,Specialized Knowledge Retention,True,Moderate,3,Annual Talent Review
CR00000330,P00000407,W00000407,Senior Manager - Finance,JP000462,SO001828,CC000543,High,Leadership Continuity,True,Severe,2,Annual Talent Review
CR00000331,P00003420,W00003420,Senior Consultant - Human Capital,JP000199,SO000033,CC001469,Medium,Process Stability,True,Moderate,3,Annual Talent Review
CR00000332,P00000150,W00000150,Analyst - Technology Consulting,JP000342,SO000755,CC000386,High,Leadership Continuity,True,Moderate,3,Annual Talent Review
CR00000333,P00001317,W00001317,Senior Consultant - Human Resources,JP000225,SO000628,CC000350,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000334,P00000187,W00000187,Senior Manager - Audit Assurance,JP000306,SO001911,CC000120,Strategic,Regulatory / Compliance Risk,True,Moderate,2,Mid-Year Talent Review
CR00000335,P00003812,W00003812,Consultant - Information Technology,JP000036,SO002301,CC000995,High,Operational Resilience,True,Moderate,2,Annual Talent Review
CR00000336,P00000312,W00000312,Analyst - Corporate Tax,JP000319,SO000818,CC002409,Medium,Specialized Knowledge Retention,True,Moderate,3,Annual Talent Review
CR00000337,P00002641,W00002641,Analyst - Marketing,JP000243,SO001958,CC000417,High,Client Delivery Continuity,True,High,1,Mid-Year Talent Review
CR00000338,P00000049,W00000049,Analyst - Mergers and Acquisitions,JP000135,SO000455,CC000899,Medium,Regional Coverage,True,High,2,Annual Talent Review
CR00000339,P00003504,W00003504,Manager - Human Capital,JP000240,SO000500,CC001257,High,Client Delivery Continuity,True,Moderate,3,Mid-Year Talent Review
CR00000340,P00002300,W00002300,Analyst - Legal,JP000216,SO000710,CC001584,Strategic,Enterprise Transformation,True,High,2,Mid-Year Talent Review
CR00000341,P00003373,W00003373,Senior Consultant - Mergers and Acquisitions,JP000051,SO000896,CC000827,High,Operational Resilience,True,Severe,2,Annual Talent Review
CR00000342,P00004026,W00004026,Consultant - Corporate Tax,JP000201,SO000598,CC001811,Strategic,Revenue Continuity,True,Moderate,2,Annual Talent Review
CR00000343,P00000683,W00000683,Senior Consultant - Legal,JP000447,SO001864,CC000169,Strategic,Enterprise Transformation,True,Moderate,3,Annual Talent Review
CR00000344,P00003000,W00003000,Analyst - Strategy Consulting,JP000456,SO000998,CC001540,Medium,Process Stability,True,Severe,3,Mid-Year Talent Review
CR00000345,P00003254,W00003254,Manager - Data and Analytics,JP000189,SO001388,CC002276,Medium,Process Stability,True,Severe,2,Annual Talent Review
CR00000346,P00003933,W00003933,Senior Consultant - Technology Consulting,JP000502,SO001826,CC000168,Medium,Regional Coverage,True,High,2,Annual Talent Review
CR00000347,P00001150,W00001150,Senior Consultant - Operations,JP000310,SO000037,CC001889,Strategic,Regulatory / Compliance Risk,True,Severe,2,Annual Talent Review
CR00000348,P00002963,W00002963,Consultant - Finance,JP000237,SO002051,CC002271,High,Operational Resilience,True,Moderate,2,Annual Talent Review
CR00000349,P00001649,W00001649,Partner - Information Technology,JP000574,SO000987,CC001774,Medium,Specialized Knowledge Retention,True,High,2,Mid-Year Talent Review
CR00000350,P00001880,W00001880,Analyst - Marketing,JP000177,SO001685,CC001850,High,Client Delivery Continuity,True,High,3,Annual Talent Review
CR00000351,P00002955,W00002955,Analyst - Data and Analytics,JP000485,SO001502,CC001644,Medium,Process Stability,True,High,1,Annual Talent Review
CR00000352,P00000752,W00000752,Analyst - Mergers and Acquisitions,JP000324,SO002099,CC000811,High,Leadership Continuity,True,High,1,Mid-Year Talent Review
CR00000353,P00000782,W00000782,Senior Consultant - Data and Analytics,JP000262,SO001695,CC002391,Medium,Process Stability,True,High,2,Annual Talent Review
CR00000354,P00003400,W00003400,Senior Consultant - Data and Analytics,JP000246,SO002392,CC000552,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000355,P00000155,W00000155,Analyst - Finance,JP000547,SO001803,CC000397,Medium,Specialized Knowledge Retention,True,High,2,Mid-Year Talent Review
CR00000356,P00001614,W00001614,Analyst - Legal,JP000347,SO001825,CC000961,Medium,Specialized Knowledge Retention,True,High,1,Mid-Year Talent Review
CR00000357,P00000920,W00000920,Senior Consultant - Human Resources,JP000187,SO001718,CC002157,Medium,Specialized Knowledge Retention,True,Moderate,2,Mid-Year Talent Review
CR00000358,P00000412,W00000412,Intern - Marketing,JP000198,SO002117,CC001468,Medium,Specialized Knowledge Retention,True,Moderate,3,Annual Talent Review
CR00000359,P00000958,W00000958,Senior Consultant - Human Resources,JP000291,SO001930,CC001112,Medium,Regional Coverage,True,High,1,Annual Talent Review
CR00000360,P00002348,W00002348,Analyst - Cyber Risk,JP000034,SO000475,CC000062,Medium,Specialized Knowledge Retention,True,Moderate,2,Annual Talent Review
CR00000361,P00004153,W00004153,Analyst - Legal,JP000186,SO000309,CC001588,Strategic,Regulatory / Compliance Risk,True,Moderate,3,Mid-Year Talent Review
CR00000362,P00001250,W00001250,Partner - Corporate Tax,JP000080,SO000678,CC000343,High,Operational Resilience,True,Moderate,1,Annual Talent Review
CR00000363,P00003978,W00003978,Senior Consultant - Operations,JP000518,SO000028,CC001315,High,Client Delivery Continuity,True,Moderate,2,Annual Talent Review
CR00000364,P00000948,W00000948,Analyst - Strategy Consulting,JP000078,SO001921,CC001239,High,Operational Resilience,True,Severe,2,Annual Talent Review
CR00000365,P00002343,W00002343,Analyst - Cyber Risk,JP000519,SO002449,CC001790,Medium,Process Stability,True,High,3,Annual Talent Review
CR00000366,P00004660,W00004660,Analyst - Data and Analytics,JP000114,SO001929,CC000277,High,Client Delivery Continuity,True,Severe,2,Annual Talent Review
CR00000367,P00000847,W00000847,Analyst - Information Technology,JP000089,SO000195,CC002409,Medium,Specialized Knowledge Retention,True,Moderate,3,Annual Talent Review
CR00000368,P00004133,W00004133,Analyst - Finance,JP000046,SO001478,CC002192,Medium,Specialized Knowledge Retention,True,High,1,Annual Talent Review
CR00000369,P00000785,W00000785,Senior Manager - Cyber Risk,JP000206,SO001375,CC000052,High,Leadership Continuity,True,High,2,Mid-Year Talent Review
CR00000370,P00004686,W00004686,Analyst - Human Capital,JP000108,SO002260,CC001644,Strategic,Enterprise Transformation,True,High,2,Mid-Year Talent Review
CR00000371,P00002414,W00002414,Consultant - Regulatory Risk,JP000039,SO001471,CC001529,Medium,Regional Coverage,True,Severe,1,Annual Talent Review
CR00000372,P00004601,W00004601,Analyst - Technology Consulting,JP000362,SO001432,CC002087,High,Operational Resilience,True,Severe,1,Annual Talent Review
CR00000373,P00004887,W00004887,Consultant - Technology Consulting,JP000545,SO000293,CC000507,High,Leadership Continuity,True,Severe,1,Mid-Year Talent Review
CR00000374,P00003583,W00003583,Consultant - Human Resources,JP000236,SO002482,CC002235,High,Client Delivery Continuity,True,Moderate,3,Annual Talent Review
CR00000375,P00000353,W00000353,Analyst - Human Capital,JP000017,SO001623,CC000616,High,Leadership Continuity,True,Moderate,2,Annual Talent Review
CR00000376,P00004878,W00004878,Senior Manager - Strategy Consulting,JP000133,SO000877,CC000219,High,Leadership Continuity,True,High,2,Annual Talent Review
CR00000377,P00000338,W00000338,Consultant - Mergers and Acquisitions,JP000095,SO001924,CC002444,Strategic,Revenue Continuity,True,High,2,Annual Talent Review
