pdp_id,worker_id,performance_review_id,plan_year,plan_status,career_aspiration,development_focus_area,development_method,promotion_readiness_target,mentor_assigned_worker_id,creation_date,target_completion_date,completion_percentage,linked_overall_rating,linked_potential_rating,linked_gen_ai_readiness,gen_ai_impact_level,gen_ai_role_category
PDP00003530,W00001332,PR00004797,2024,Completed,Director,Client Relationship Management,Mentoring,Ready in 1 Year,W00004707,2024-01-16,2024-06-30,97,4,High,Medium,Medium,AI-Augmented Professional
PDP00003531,W00001332,PR00004798,2025,Completed,Technical Specialist,Client Relationship Management,Job Rotation,Ready in 2 Years,,2025-03-26,2025-06-30,95,2,Moderate,Low,Medium,AI-Augmented Professional
PDP00003532,W00001333,PR00004800,2022,Deferred,Technical Specialist,Strategic Thinking,Coaching,Ready in 3+ Years,,2022-02-10,2022-06-30,22,3,High,Low,Medium,AI-Augmented Professional
PDP00003533,W00001333,PR00004801,2023,Completed,Data and Analytics Lead,Technical Capability,Shadow Program,Ready in 3+ Years,,2023-01-30,2023-06-30,92,1,Moderate,Low,Medium,AI-Augmented Professional
PDP00003534,W00001333,PR00004803,2025,Completed,Practice Leader,Executive Presence,Stretch Assignment,Ready in 2 Years,W00000761,2025-04-06,2025-06-30,99,3,Exceptional,Low,Medium,AI-Augmented Professional
PDP00003535,W00001333,PR00004804,2026,In Progress,Senior Manager,Leadership,Coaching,Ready in 2 Years,W00002585,2026-02-07,2026-06-30,41,3,High,Medium,Medium,AI-Augmented Professional
PDP00003536,W00001334,PR00004805,2026,Completed,Director,Cybersecurity,Formal Training,Ready in 1 Year,W00002996,2026-02-14,2026-06-30,92,5,Exceptional,Expert,High,AI Product / Transformation
PDP00003537,W00001335,PR00004806,2024,In Progress,Global Mobility Assignment,Operational Excellence,Formal Training,Ready in 2 Years,W00002959,2024-04-03,2024-06-30,85,1,Moderate,Medium,Medium,AI-Augmented Professional
PDP00003538,W00001335,PR00004807,2025,Deferred,Practice Leader,People Management,Coaching,Ready in 1 Year,W00002783,2025-04-02,2025-12-31,10,3,Moderate,High,Medium,AI-Augmented Professional
PDP00003539,W00001335,PR00004808,2026,Not Started,Senior Manager,Client Relationship Management,Coaching,Ready in 2 Years,W00002786,2026-02-19,2026-09-30,8,3,High,Medium,Medium,AI-Augmented Professional
PDP00003540,W00001336,PR00004811,2025,In Progress,Senior Manager,Data Analytics,Shadow Program,Ready Now,W00003864,2025-02-04,2025-12-31,86,3,Moderate,Medium,Medium,AI Governance
PDP00003541,W00001336,PR00004812,2026,Completed,Global Mobility Assignment,Digital Transformation,Mentoring,Ready in 3+ Years,W00004854,2026-04-24,2026-06-30,90,3,High,Medium,Medium,AI Governance
PDP00003542,W00001337,PR00004813,2024,Completed,Practice Leader,People Management,Shadow Program,Ready in 1 Year,W00004117,2024-02-21,2024-12-31,99,3,High,High,Medium,AI-Augmented Professional
PDP00003543,W00001337,PR00004814,2025,Not Started,Data and Analytics Lead,Cybersecurity,Formal Training,Ready in 3+ Years,W00001116,2025-02-28,2025-12-31,4,4,Low,Expert,Medium,AI-Augmented Professional
PDP00003544,W00001337,PR00004815,2026,Not Started,Director,People Management,Formal Training,Ready in 3+ Years,W00004086,2026-02-14,2026-09-30,0,3,High,High,Medium,AI-Augmented Professional
PDP00003545,W00001338,PR00004817,2025,Not Started,Senior Manager,Leadership,Certification,Ready in 2 Years,,2025-04-24,2025-09-30,6,4,Moderate,Low,Low,AI User
PDP00003546,W00001338,PR00004818,2026,Completed,Manager,Client Relationship Management,International Assignment,Ready in 2 Years,,2026-03-18,2026-12-31,91,4,Moderate,Low,Low,AI User
PDP00003547,W00001339,PR00004819,2023,In Progress,Manager,Digital Transformation,Stretch Assignment,Ready in 3+ Years,W00000657,2023-03-29,2023-06-30,55,3,Moderate,High,Medium,AI-Augmented Professional
PDP00003548,W00001339,PR00004820,2024,In Progress,Senior Consultant,Client Relationship Management,International Assignment,Ready in 2 Years,W00001223,2024-03-25,2024-09-30,58,2,High,Low,Medium,AI-Augmented Professional
PDP00003549,W00001340,PR00004823,2022,In Progress,Director,Project Management,Job Rotation,Ready in 1 Year,,2022-04-19,2022-12-31,61,3,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00003550,W00001340,PR00004827,2026,Completed,Global Mobility Assignment,People Management,Certification,Ready in 2 Years,W00002526,2026-04-03,2026-06-30,97,4,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00003551,W00001341,PR00004828,2023,In Progress,Data and Analytics Lead,Data Analytics,Certification,Ready in 2 Years,,2023-04-14,2023-09-30,42,4,Moderate,Expert,High,AI Builder
PDP00003552,W00001341,PR00004831,2026,Completed,Partner,Leadership,Job Rotation,Ready in 2 Years,W00002838,2026-04-20,2026-09-30,90,3,High,High,High,AI Builder
PDP00003553,W00001342,PR00004832,2022,In Progress,Director,Leadership,Certification,Ready in 2 Years,,2022-01-23,2022-12-31,55,5,High,Low,Medium,AI-Augmented Professional
PDP00003554,W00001343,PR00004837,2022,In Progress,Manager,Executive Presence,Client Engagement,Ready in 1 Year,,2022-03-22,2022-06-30,65,3,High,Low,Low,AI User
PDP00003555,W00001343,PR00004839,2024,Not Started,Practice Leader,Leadership,Coaching,Ready in 3+ Years,,2024-04-14,2024-06-30,1,4,Moderate,High,Low,AI User
PDP00003556,W00001343,PR00004840,2025,Completed,Technical Specialist,Communication Skills,Mentoring,Ready in 3+ Years,W00000515,2025-03-14,2025-09-30,99,2,High,Medium,Low,AI User
PDP00003557,W00001343,PR00004841,2026,In Progress,Manager,People Management,Certification,Ready in 2 Years,W00000566,2026-03-03,2026-09-30,71,3,Moderate,Low,Low,AI User
PDP00003558,W00001344,PR00004842,2026,Deferred,Partner,Strategic Thinking,Formal Training,Ready Now,W00003929,2026-03-06,2026-09-30,21,4,High,High,Medium,AI-Augmented Professional
PDP00003559,W00001345,PR00004843,2025,Completed,Practice Leader,Project Management,Certification,Ready in 3+ Years,W00002078,2025-02-14,2025-09-30,96,2,Moderate,Low,Medium,AI-Augmented Professional
PDP00003560,W00001346,PR00004845,2025,Not Started,Senior Manager,Communication Skills,Mentoring,Ready in 3+ Years,W00002298,2025-01-26,2025-09-30,7,2,Moderate,Medium,Medium,AI-Augmented Professional
PDP00003561,W00001346,PR00004846,2026,Completed,Senior Consultant,Executive Presence,Client Engagement,Ready Now,,2026-03-09,2026-06-30,90,5,High,Medium,Medium,AI-Augmented Professional
PDP00003562,W00001347,PR00004847,2026,In Progress,Partner,Project Management,Client Engagement,Ready in 2 Years,,2026-03-21,2026-09-30,34,3,Moderate,Low,Medium,AI-Augmented Professional
PDP00003563,W00001348,PR00004848,2022,Completed,Practice Leader,Coaching Others,Mentoring,Ready in 2 Years,W00003173,2022-04-18,2022-12-31,98,4,Moderate,Medium,Medium,AI-Augmented Professional
PDP00003564,W00001348,PR00004850,2024,Completed,Practice Leader,Executive Presence,Stretch Assignment,Ready in 2 Years,W00003868,2024-03-24,2024-06-30,95,4,High,Medium,Medium,AI-Augmented Professional
PDP00003565,W00001348,PR00004851,2025,Completed,Global Mobility Assignment,AI & GenAI,Formal Training,Ready in 1 Year,W00002963,2025-02-12,2025-12-31,97,4,Moderate,High,Medium,AI-Augmented Professional
PDP00003566,W00001349,PR00004853,2025,Canceled,Senior Consultant,Cybersecurity,Mentoring,Ready in 1 Year,W00002708,2025-04-28,2025-12-31,13,3,High,High,Medium,AI-Augmented Professional
PDP00003567,W00001350,PR00004856,2023,Not Started,Senior Manager,People Management,Coaching,Ready in 1 Year,W00003154,2023-02-24,2023-12-31,4,5,High,Expert,Medium,AI-Augmented Professional
PDP00003568,W00001350,PR00004857,2024,Completed,Senior Consultant,Cybersecurity,Stretch Assignment,Ready in 1 Year,,2024-04-02,2024-06-30,95,4,Exceptional,High,Medium,AI-Augmented Professional
PDP00003569,W00001350,PR00004858,2025,Deferred,AI Transformation Lead,AI & GenAI,Job Rotation,Ready in 2 Years,W00003276,2025-03-29,2025-12-31,10,3,High,Low,Medium,AI-Augmented Professional
PDP00003570,W00001350,PR00004859,2026,Not Started,Technical Specialist,AI & GenAI,Client Engagement,Ready in 3+ Years,W00003101,2026-02-17,2026-09-30,5,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00003571,W00001352,PR00004861,2024,In Progress,Global Mobility Assignment,Client Relationship Management,Formal Training,Ready in 3+ Years,,2024-03-08,2024-09-30,47,2,Moderate,Expert,Medium,AI-Augmented Professional
PDP00003572,W00001353,PR00004866,2026,In Progress,Partner,Data Analytics,International Assignment,Ready in 1 Year,,2026-03-20,2026-09-30,30,4,High,High,Medium,AI-Augmented Professional
PDP00003573,W00001354,PR00004867,2022,Completed,Director,Cybersecurity,Formal Training,Ready in 2 Years,,2022-02-18,2022-09-30,99,3,Moderate,High,High,AI Governance
PDP00003574,W00001354,PR00004868,2023,In Progress,Global Mobility Assignment,Cloud Technologies,Certification,Ready in 2 Years,W00004523,2023-01-20,2023-09-30,49,3,High,Medium,High,AI Governance
PDP00003575,W00001354,PR00004870,2025,In Progress,Senior Manager,Digital Transformation,Stretch Assignment,Ready in 3+ Years,,2025-03-13,2025-09-30,29,3,High,High,High,AI Governance
PDP00003576,W00001354,PR00004871,2026,Completed,Practice Leader,Digital Transformation,International Assignment,Ready in 3+ Years,W00003870,2026-03-24,2026-06-30,94,4,Moderate,Expert,High,AI Governance
PDP00003577,W00001355,PR00004872,2025,Completed,Practice Leader,Data Analytics,Client Engagement,Ready in 2 Years,W00001500,2025-02-09,2025-09-30,97,3,Moderate,High,Medium,AI-Augmented Professional
PDP00003578,W00001356,PR00004876,2024,Deferred,Manager,Executive Presence,Mentoring,Ready in 1 Year,W00003727,2024-04-19,2024-09-30,25,4,Exceptional,Expert,High,AI Product / Transformation
PDP00003579,W00001356,PR00004878,2026,Completed,Manager,Cybersecurity,Stretch Assignment,Ready in 2 Years,W00004316,2026-03-02,2026-06-30,98,3,High,Expert,High,AI Product / Transformation
PDP00003580,W00001357,PR00004881,2024,In Progress,Partner,People Management,Client Engagement,Ready in 1 Year,,2024-04-29,2024-06-30,64,4,High,High,High,AI Builder
PDP00003581,W00001357,PR00004882,2025,In Progress,Data and Analytics Lead,Digital Transformation,Client Engagement,Ready in 2 Years,W00004908,2025-02-21,2025-12-31,74,5,High,High,High,AI Builder
PDP00003582,W00001357,PR00004883,2026,Completed,Director,Data Analytics,Stretch Assignment,Ready in 2 Years,,2026-03-07,2026-06-30,94,4,Moderate,Expert,High,AI Builder
PDP00003583,W00001358,PR00004884,2022,Completed,Global Mobility Assignment,Strategic Thinking,Coaching,Ready in 3+ Years,,2022-01-20,2022-06-30,92,3,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00003584,W00001359,PR00004891,2024,In Progress,Global Mobility Assignment,Cybersecurity,Stretch Assignment,Ready in 2 Years,W00000809,2024-03-21,2024-09-30,25,3,High,High,High,AI Governance
PDP00003585,W00001359,PR00004893,2026,In Progress,AI Transformation Lead,Cloud Technologies,Mentoring,Ready in 1 Year,W00000334,2026-02-16,2026-12-31,73,4,Moderate,Medium,High,AI Governance
PDP00003586,W00001360,PR00004894,2025,In Progress,AI Transformation Lead,Client Relationship Management,Mentoring,Ready in 2 Years,,2025-02-25,2025-09-30,71,2,High,Medium,Low,AI User
PDP00003587,W00001361,PR00004896,2022,Completed,AI Transformation Lead,Communication Skills,Stretch Assignment,Ready in 2 Years,W00001551,2022-01-22,2022-06-30,97,2,Moderate,Medium,Low,AI User
PDP00003588,W00001361,PR00004897,2023,Completed,Partner,AI & GenAI,International Assignment,Ready in 2 Years,W00004377,2023-02-24,2023-12-31,95,4,Moderate,Medium,Low,AI User
PDP00003589,W00001361,PR00004898,2024,In Progress,Director,Leadership,Coaching,Ready in 2 Years,W00000668,2024-03-27,2024-06-30,28,4,Exceptional,Low,Low,AI User
PDP00003590,W00001361,PR00004900,2026,In Progress,Data and Analytics Lead,Project Management,Formal Training,Ready in 2 Years,,2026-04-27,2026-12-31,70,2,Moderate,Medium,Low,AI User
PDP00003591,W00001362,PR00004901,2022,Completed,Director,Strategic Thinking,Formal Training,Ready in 2 Years,W00004696,2022-04-06,2022-06-30,94,4,Moderate,High,Medium,AI Governance
PDP00003592,W00001362,PR00004904,2025,In Progress,Global Mobility Assignment,Leadership,Stretch Assignment,Ready Now,W00003243,2025-03-01,2025-12-31,33,4,Moderate,Medium,Medium,AI Governance
PDP00003593,W00001362,PR00004905,2026,Completed,Manager,Leadership,Mentoring,Ready in 3+ Years,W00001070,2026-04-15,2026-09-30,99,3,Exceptional,Low,Medium,AI Governance
PDP00003594,W00001363,PR00004906,2022,In Progress,Manager,Executive Presence,Certification,Ready in 1 Year,W00004433,2022-02-11,2022-12-31,88,3,High,Medium,Medium,AI-Augmented Professional
PDP00003595,W00001363,PR00004907,2023,Completed,Practice Leader,Strategic Thinking,Coaching,Ready in 2 Years,W00000040,2023-01-15,2023-06-30,96,3,Moderate,Low,Medium,AI-Augmented Professional
PDP00003596,W00001363,PR00004908,2024,Completed,Technical Specialist,Project Management,Stretch Assignment,Ready in 2 Years,W00000676,2024-02-15,2024-12-31,97,3,Moderate,Low,Medium,AI-Augmented Professional
PDP00003597,W00001363,PR00004909,2025,Not Started,Practice Leader,Executive Presence,International Assignment,Ready in 1 Year,W00003458,2025-04-26,2025-09-30,8,3,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00003598,W00001364,PR00004911,2022,Completed,Manager,Data Analytics,Shadow Program,Ready in 2 Years,W00000061,2022-02-20,2022-12-31,96,4,Moderate,Expert,Medium,AI-Augmented Professional
PDP00003599,W00001364,PR00004912,2023,In Progress,Data and Analytics Lead,Digital Transformation,Formal Training,Ready in 1 Year,,2023-01-22,2023-06-30,54,4,High,High,Medium,AI-Augmented Professional
PDP00003600,W00001364,PR00004913,2024,Deferred,Partner,Operational Excellence,Stretch Assignment,Ready in 2 Years,,2024-04-28,2024-12-31,23,2,Moderate,Expert,Medium,AI-Augmented Professional
PDP00003601,W00001364,PR00004914,2025,In Progress,Partner,Communication Skills,Formal Training,Ready in 3+ Years,W00004364,2025-03-16,2025-06-30,83,2,Moderate,High,Medium,AI-Augmented Professional
PDP00003602,W00001364,PR00004915,2026,In Progress,Practice Leader,People Management,Formal Training,Ready in 1 Year,W00000163,2026-02-02,2026-12-31,84,5,High,Medium,Medium,AI-Augmented Professional
PDP00003603,W00001365,PR00004916,2022,In Progress,Senior Manager,Leadership,Formal Training,Ready in 1 Year,W00002498,2022-03-03,2022-06-30,81,5,Exceptional,Medium,High,AI Product / Transformation
PDP00003604,W00001365,PR00004917,2023,Completed,Practice Leader,Leadership,Mentoring,Ready in 3+ Years,W00003912,2023-03-25,2023-09-30,91,3,Moderate,High,High,AI Product / Transformation
PDP00003605,W00001366,PR00004921,2022,Deferred,Senior Manager,Leadership,Stretch Assignment,Ready in 2 Years,W00000124,2022-01-25,2022-06-30,32,4,Moderate,High,Medium,AI-Augmented Professional
PDP00003606,W00001366,PR00004923,2024,Not Started,AI Transformation Lead,Strategic Thinking,Job Rotation,Ready in 1 Year,W00004482,2024-01-22,2024-09-30,4,4,High,Medium,Medium,AI-Augmented Professional
PDP00003607,W00001366,PR00004925,2026,Canceled,Manager,Leadership,Coaching,Ready in 2 Years,,2026-03-10,2026-12-31,10,4,Moderate,Medium,Medium,AI-Augmented Professional
PDP00003608,W00001367,PR00004926,2022,Completed,Practice Leader,Strategic Thinking,Formal Training,Ready in 2 Years,W00001616,2022-03-15,2022-09-30,92,4,Exceptional,High,Medium,AI-Augmented Professional
PDP00003609,W00001367,PR00004927,2023,In Progress,Senior Manager,Leadership,International Assignment,Ready in 2 Years,W00004153,2023-02-28,2023-12-31,58,5,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00003610,W00001367,PR00004929,2025,Not Started,AI Transformation Lead,Cybersecurity,Mentoring,Ready in 2 Years,W00003919,2025-03-04,2025-12-31,4,5,Moderate,High,Medium,AI-Augmented Professional
PDP00003611,W00001368,PR00004931,2025,Completed,Director,Executive Presence,Formal Training,Ready in 1 Year,,2025-03-19,2025-12-31,93,4,Exceptional,Low,Medium,AI-Augmented Professional
PDP00003612,W00001368,PR00004932,2026,In Progress,Senior Manager,Client Relationship Management,International Assignment,Ready in 3+ Years,,2026-03-19,2026-12-31,28,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00003613,W00001369,PR00004933,2022,Completed,Manager,Leadership,Shadow Program,Ready in 1 Year,W00002735,2022-03-29,2022-06-30,95,4,High,Medium,High,AI Product / Transformation
PDP00003614,W00001369,PR00004935,2024,In Progress,Partner,Digital Transformation,International Assignment,Ready in 1 Year,,2024-02-22,2024-06-30,60,4,High,Medium,High,AI Product / Transformation
PDP00003615,W00001369,PR00004936,2025,Completed,AI Transformation Lead,Client Relationship Management,Stretch Assignment,Ready in 3+ Years,W00002187,2025-02-23,2025-09-30,99,3,High,High,High,AI Product / Transformation
PDP00003616,W00001369,PR00004937,2026,Completed,Manager,Cloud Technologies,Coaching,Ready in 3+ Years,W00002349,2026-01-22,2026-12-31,98,4,Moderate,Expert,High,AI Product / Transformation
PDP00003617,W00001370,PR00004938,2025,Deferred,AI Transformation Lead,Leadership,Stretch Assignment,Ready in 3+ Years,W00002771,2025-04-06,2025-09-30,6,3,High,Low,Medium,AI Governance
PDP00003618,W00001370,PR00004939,2026,Completed,AI Transformation Lead,Technical Capability,Client Engagement,Ready in 3+ Years,W00004469,2026-01-16,2026-06-30,91,1,Moderate,Low,Medium,AI Governance
PDP00003619,W00001372,PR00004940,2022,Canceled,AI Transformation Lead,AI & GenAI,Stretch Assignment,Ready in 1 Year,W00000074,2022-01-17,2022-06-30,5,3,High,High,Medium,AI-Augmented Professional
PDP00003620,W00001372,PR00004941,2023,In Progress,Senior Manager,Leadership,Mentoring,Ready in 1 Year,W00004769,2023-01-30,2023-12-31,29,4,High,Medium,Medium,AI-Augmented Professional
PDP00003621,W00001372,PR00004942,2024,Completed,Director,Client Relationship Management,Mentoring,Ready Now,W00004584,2024-03-01,2024-09-30,93,5,Exceptional,Low,Medium,AI-Augmented Professional
PDP00003622,W00001372,PR00004944,2026,Completed,Senior Manager,Client Relationship Management,Mentoring,Ready in 1 Year,,2026-03-27,2026-12-31,96,5,High,Medium,Medium,AI-Augmented Professional
PDP00003623,W00001373,PR00004947,2024,Completed,Director,People Management,Formal Training,Ready in 2 Years,,2024-03-26,2024-06-30,90,4,High,High,Medium,AI Governance
PDP00003624,W00001373,PR00004949,2026,Not Started,Senior Manager,Executive Presence,Shadow Program,Ready in 3+ Years,,2026-04-12,2026-12-31,1,3,Exceptional,Low,Medium,AI Governance
PDP00003625,W00001374,PR00004950,2023,Completed,Senior Consultant,Project Management,Job Rotation,Ready in 3+ Years,W00002324,2023-04-18,2023-12-31,91,2,Moderate,Medium,Medium,AI-Augmented Professional
PDP00003626,W00001374,PR00004953,2026,Completed,Global Mobility Assignment,Client Relationship Management,Client Engagement,Ready in 3+ Years,W00002804,2026-03-20,2026-12-31,94,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00003627,W00001375,PR00004955,2023,Completed,AI Transformation Lead,Executive Presence,Coaching,Ready in 3+ Years,W00002853,2023-02-14,2023-06-30,93,3,Moderate,Medium,High,AI Governance
PDP00003628,W00001375,PR00004956,2024,In Progress,Global Mobility Assignment,Cybersecurity,Client Engagement,Ready in 2 Years,W00002208,2024-04-28,2024-12-31,34,3,Exceptional,Medium,High,AI Governance
PDP00003629,W00001375,PR00004957,2025,In Progress,Partner,People Management,Certification,Ready in 3+ Years,W00002303,2025-04-13,2025-09-30,74,4,Low,Expert,High,AI Governance
PDP00003630,W00001376,PR00004959,2022,In Progress,Global Mobility Assignment,Communication Skills,Mentoring,Ready in 2 Years,W00002962,2022-01-15,2022-09-30,58,1,Moderate,Medium,Medium,AI-Augmented Professional
PDP00003631,W00001376,PR00004960,2023,Not Started,Senior Manager,People Management,Mentoring,Ready in 1 Year,W00002632,2023-02-11,2023-12-31,10,4,High,Medium,Medium,AI-Augmented Professional
PDP00003632,W00001376,PR00004961,2024,In Progress,AI Transformation Lead,Communication Skills,Stretch Assignment,Ready in 2 Years,W00001066,2024-04-25,2024-09-30,75,2,Low,High,Medium,AI-Augmented Professional
PDP00003633,W00001376,PR00004963,2026,Completed,Senior Consultant,AI & GenAI,Formal Training,Ready in 1 Year,,2026-04-14,2026-06-30,96,3,Moderate,High,Medium,AI-Augmented Professional
PDP00003634,W00001377,PR00004964,2025,In Progress,Partner,Leadership,Formal Training,Ready in 3+ Years,,2025-01-30,2025-09-30,50,4,Moderate,High,Medium,AI-Augmented Professional
PDP00003635,W00001378,PR00004966,2026,In Progress,AI Transformation Lead,Executive Presence,Stretch Assignment,Ready Now,,2026-04-15,2026-12-31,75,5,Exceptional,High,High,AI Product / Transformation
PDP00003636,W00001379,PR00004967,2025,Completed,Data and Analytics Lead,Strategic Thinking,Formal Training,Ready in 1 Year,W00000937,2025-03-24,2025-09-30,95,4,Exceptional,High,High,AI Builder
PDP00003637,W00001379,PR00004968,2026,Completed,Senior Manager,Cybersecurity,Job Rotation,Ready in 2 Years,W00004709,2026-02-05,2026-12-31,90,3,Moderate,High,High,AI Builder
PDP00003638,W00001380,PR00004970,2023,In Progress,Partner,Executive Presence,Coaching,Ready in 2 Years,W00004499,2023-03-22,2023-06-30,30,4,High,Medium,Medium,AI Governance
PDP00003639,W00001380,PR00004971,2024,In Progress,Partner,People Management,Formal Training,Ready in 2 Years,W00003459,2024-01-23,2024-06-30,83,3,Moderate,Medium,Medium,AI Governance
PDP00003640,W00001380,PR00004973,2026,In Progress,Manager,Executive Presence,Client Engagement,Ready in 1 Year,,2026-04-14,2026-06-30,48,4,High,Low,Medium,AI Governance
PDP00003641,W00001381,PR00004975,2023,In Progress,Senior Consultant,Communication Skills,Formal Training,Ready Now,W00001597,2023-02-18,2023-12-31,68,5,Moderate,Medium,Medium,AI-Augmented Professional
PDP00003642,W00001381,PR00004976,2024,Completed,Manager,Project Management,Formal Training,Ready in 3+ Years,W00002896,2024-03-03,2024-12-31,90,3,Exceptional,Low,Medium,AI-Augmented Professional
PDP00003643,W00001381,PR00004977,2025,Completed,AI Transformation Lead,Data Analytics,Certification,Ready in 2 Years,,2025-03-16,2025-06-30,97,3,Low,High,Medium,AI-Augmented Professional
PDP00003644,W00001381,PR00004978,2026,Completed,Partner,Operational Excellence,Stretch Assignment,Ready in 3+ Years,W00002171,2026-04-03,2026-09-30,96,2,Moderate,Medium,Medium,AI-Augmented Professional
PDP00003645,W00001382,PR00004979,2022,In Progress,Practice Leader,Strategic Thinking,Client Engagement,Ready in 1 Year,W00001765,2022-02-15,2022-09-30,63,4,Exceptional,High,Low,AI User
PDP00003646,W00001382,PR00004980,2023,Completed,Global Mobility Assignment,Cloud Technologies,Client Engagement,Ready in 3+ Years,W00000674,2023-02-01,2023-06-30,96,3,Moderate,Medium,Low,AI User
PDP00003647,W00001382,PR00004981,2024,In Progress,Senior Consultant,Client Relationship Management,Stretch Assignment,Ready in 3+ Years,W00004820,2024-02-01,2024-12-31,30,1,Exceptional,Medium,Low,AI User
PDP00003648,W00001382,PR00004982,2025,Completed,Practice Leader,Technical Capability,Formal Training,Ready in 3+ Years,W00003389,2025-04-28,2025-12-31,93,2,Moderate,Low,Low,AI User
PDP00003649,W00001382,PR00004983,2026,In Progress,Technical Specialist,Communication Skills,Stretch Assignment,Ready in 2 Years,,2026-03-03,2026-06-30,61,3,Moderate,Medium,Low,AI User
PDP00003650,W00001383,PR00004984,2022,Not Started,Senior Manager,Client Relationship Management,International Assignment,Ready in 2 Years,,2022-04-13,2022-06-30,10,4,Exceptional,Low,Medium,AI-Augmented Professional
PDP00003651,W00001383,PR00004985,2023,Not Started,Global Mobility Assignment,Operational Excellence,Formal Training,Ready in 2 Years,W00004002,2023-02-28,2023-06-30,9,2,Low,High,Medium,AI-Augmented Professional
PDP00003652,W00001383,PR00004986,2024,In Progress,AI Transformation Lead,Cybersecurity,Certification,Ready Now,W00002618,2024-01-15,2024-09-30,79,3,High,Expert,Medium,AI-Augmented Professional
PDP00003653,W00001383,PR00004987,2025,In Progress,Senior Manager,People Management,Mentoring,Ready in 2 Years,,2025-04-02,2025-09-30,79,4,High,Low,Medium,AI-Augmented Professional
PDP00003654,W00001383,PR00004988,2026,In Progress,Director,Strategic Thinking,Coaching,Ready in 1 Year,W00001811,2026-01-17,2026-06-30,44,4,Low,Medium,Medium,AI-Augmented Professional
PDP00003655,W00001385,PR00004989,2023,Completed,Senior Manager,Client Relationship Management,Client Engagement,Ready in 1 Year,,2023-02-05,2023-06-30,91,3,Moderate,High,Low,AI User
PDP00003656,W00001385,PR00004990,2024,Completed,Technical Specialist,Cybersecurity,Formal Training,Ready in 1 Year,W00002505,2024-01-21,2024-09-30,97,3,Exceptional,High,Low,AI User
PDP00003657,W00001385,PR00004991,2025,In Progress,Partner,People Management,Mentoring,Ready in 2 Years,,2025-03-19,2025-06-30,46,3,High,High,Low,AI User
PDP00003658,W00001385,PR00004992,2026,Not Started,Senior Consultant,Cloud Technologies,Job Rotation,Ready in 3+ Years,W00002991,2026-03-18,2026-09-30,10,3,Low,Medium,Low,AI User
PDP00003659,W00001386,PR00004993,2022,In Progress,Manager,Project Management,Mentoring,Ready in 1 Year,W00001064,2022-02-12,2022-12-31,73,4,Exceptional,Low,Medium,AI-Augmented Professional
PDP00003660,W00001386,PR00004995,2024,Completed,Practice Leader,Financial Acumen,Mentoring,Ready in 1 Year,,2024-01-25,2024-12-31,100,5,High,Low,Medium,AI-Augmented Professional
PDP00003661,W00001386,PR00004996,2025,Completed,Practice Leader,Client Relationship Management,Client Engagement,Ready in 2 Years,W00002154,2025-04-07,2025-12-31,98,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00003662,W00001387,PR00004998,2025,In Progress,Practice Leader,Executive Presence,Mentoring,Ready in 1 Year,W00003405,2025-04-04,2025-12-31,57,5,High,High,Critical,AI Builder
PDP00003663,W00001387,PR00004999,2026,Completed,Partner,Executive Presence,Client Engagement,Ready in 2 Years,W00003100,2026-03-19,2026-09-30,98,4,Exceptional,Expert,Critical,AI Builder
PDP00003664,W00001390,PR00005002,2022,Completed,AI Transformation Lead,Executive Presence,Coaching,Ready in 1 Year,,2022-03-15,2022-06-30,100,4,High,High,High,AI Product / Transformation
PDP00003665,W00001390,PR00005003,2023,Completed,AI Transformation Lead,Cloud Technologies,Formal Training,Ready in 3+ Years,W00004310,2023-04-04,2023-12-31,97,3,Moderate,Expert,High,AI Product / Transformation
PDP00003666,W00001390,PR00005004,2024,Completed,AI Transformation Lead,Client Relationship Management,Certification,Ready Now,,2024-04-02,2024-06-30,96,5,Exceptional,Expert,High,AI Product / Transformation
PDP00003667,W00001390,PR00005005,2025,Completed,Global Mobility Assignment,Data Analytics,Stretch Assignment,Ready in 1 Year,W00002743,2025-03-16,2025-12-31,99,4,High,High,High,AI Product / Transformation
PDP00003668,W00001391,PR00005006,2022,In Progress,Manager,Financial Acumen,Client Engagement,Ready in 2 Years,W00002841,2022-02-25,2022-12-31,78,3,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00003669,W00001391,PR00005007,2023,In Progress,Director,Leadership,Mentoring,Ready in 2 Years,,2023-02-20,2023-09-30,49,5,Exceptional,Low,Medium,AI-Augmented Professional
PDP00003670,W00001391,PR00005009,2025,Completed,Practice Leader,Client Relationship Management,Stretch Assignment,Ready in 1 Year,W00002937,2025-01-24,2025-06-30,98,5,High,Low,Medium,AI-Augmented Professional
PDP00003671,W00001391,PR00005010,2026,Completed,Partner,Client Relationship Management,Mentoring,Ready in 2 Years,,2026-02-06,2026-12-31,100,4,Moderate,Low,Medium,AI-Augmented Professional
