job_requisition_id,requisition_title,job_profile_id,job_family,career_level,business_unit,company_id,location_id,country,region,cost_center_id,supervisory_org_id,hiring_manager_worker_id,recruiter_worker_id,requisition_status,approval_status,requisition_reason,employment_type,worker_type,target_openings,filled_openings,opened_date,closed_date,target_start_date,time_to_fill_days,primary_recruiting_source,priority,gen_ai_critical_requisition,confidential_requisition
JR00000723,Analyst - Human Capital,JP000464,Human Capital,Analyst,Consulting,C019,LOC000213,United States,Americas,CC001508,SO000691,W00003657,W00002511,Filled,Approved,Replacement,Regular,Employee,3,3,2022-06-03,2022-08-21,2022-10-14,79,Direct Apply,Medium,False,False
JR00000724,Analyst - Mergers and Acquisitions,JP000402,Mergers and Acquisitions,Analyst,Deals,C037,LOC000370,United States,Americas,CC001434,SO000828,W00004565,W00000731,Open,Approved,Growth,Regular,Employee,1,0,2024-12-29,,2025-02-26,,Employee Referral,Medium,False,False
JR00000725,Analyst - Human Capital,JP000108,Human Capital,Analyst,Consulting,C028,LOC000486,Germany,EMEA,CC000824,SO000970,W00002802,W00004498,Filled,Pending Approval,Growth,Regular,Employee,1,1,2022-05-14,2022-07-17,2022-08-16,64,LinkedIn,High,False,False
JR00000726,Manager - Mergers and Acquisitions,JP000251,Mergers and Acquisitions,Manager,Deals,C025,LOC000079,India,APAC,CC001817,SO001067,W00004081,W00002795,Filled,Approved,Internal Mobility,Regular,Employee,1,1,2023-05-30,2023-09-12,2023-09-04,105,Direct Apply,High,False,False
JR00000727,Senior Manager - Cyber Risk,JP000478,Cyber Risk,Senior Manager,Risk Advisory,C036,LOC000588,United States,Americas,CC001900,SO001982,W00001987,W00004677,On Hold,Approved,Replacement,Contractor,Contractor,1,0,2024-05-20,,2024-10-27,,LinkedIn,Critical,True,False
JR00000728,Manager - Information Technology,JP000023,Information Technology,Manager,Internal Services,C027,LOC000496,United States,Americas,CC000872,SO001731,W00003811,W00001306,Draft,Draft,Campus Hiring,Regular,Employee,11,0,2023-06-23,,2023-10-20,,Agency,Critical,True,False
JR00000729,Consultant - Marketing,JP000269,Marketing,Consultant,Internal Services,C018,LOC000284,Germany,EMEA,CC000252,SO000400,W00004270,W00003732,Open,Approved,Replacement,Regular,Employee,1,0,2024-09-29,,2024-11-16,,Agency,Medium,False,False
JR00000730,Senior Consultant - Legal,JP000420,Legal,Senior Consultant,Internal Services,C009,LOC000409,Mexico,Americas,CC000702,SO002154,W00000926,W00003578,Canceled,Rejected,Campus Hiring,Regular,Employee,8,0,2025-12-12,2025-12-31,2025-12-31,19,LinkedIn,High,False,False
JR00000731,Analyst - Strategy Consulting,JP000550,Strategy Consulting,Analyst,Consulting,C020,LOC000240,United Kingdom,EMEA,CC000542,SO002123,W00001067,W00001029,Filled,Approved,Growth,Regular,Employee,1,1,2024-07-12,2024-10-05,2024-10-10,85,Talent Community,Critical,True,False
JR00000732,Consultant - Operations,JP000050,Operations,Consultant,Consulting,C033,LOC000514,Germany,EMEA,CC001899,SO001364,W00001809,W00002728,Draft,Draft,Backfill,Regular,Employee,1,0,2022-05-21,,2022-08-25,,Campus,High,False,False
JR00000733,Senior Manager - Corporate Tax,JP000235,Corporate Tax,Senior Manager,Tax,C024,LOC000168,India,APAC,CC001943,SO002455,W00004313,W00000667,Filled,Pending Approval,Growth,Regular,Employee,2,2,2025-06-07,2025-09-26,2025-09-20,111,Employee Referral,High,False,False
JR00000734,Consultant - Data and Analytics,JP000104,Data and Analytics,Consultant,Consulting,C002,LOC000369,Brazil,Americas,CC001618,SO001492,W00003714,W00001164,On Hold,Approved,Growth,Regular,Employee,1,0,2024-04-14,,2024-08-04,,Employee Referral,Critical,True,False
JR00000735,Analyst - Legal,JP000204,Legal,Analyst,Internal Services,C024,LOC000121,India,APAC,CC001943,SO002382,W00000927,W00000339,Filled,Approved,Replacement,Intern,Intern,11,11,2024-08-08,2024-10-15,2024-12-22,68,Executive Search,Low,False,False
JR00000736,Senior Consultant - Corporate Tax,JP000472,Corporate Tax,Senior Consultant,Tax,C012,LOC000451,United States,Americas,CC001914,SO001068,W00002768,W00001883,Filled,Approved,Replacement,Regular,Employee,1,1,2024-08-10,2024-09-22,2024-12-07,43,LinkedIn,High,False,False
JR00000737,Analyst - Information Technology,JP000089,Information Technology,Analyst,Internal Services,C027,LOC000576,United States,Americas,CC001749,SO001416,W00001698,W00002705,Canceled,Approved,Growth,Regular,Employee,1,0,2023-04-22,2023-05-21,2023-09-08,29,Direct Apply,Critical,True,False
JR00000738,Consultant - Human Capital,JP000592,Human Capital,Consultant,Consulting,C019,LOC000286,United States,Americas,CC001344,SO002460,W00002667,W00004100,Filled,Approved,Replacement,Regular,Employee,1,1,2025-12-06,2025-12-31,2025-12-31,25,LinkedIn,High,False,True
JR00000739,Senior Consultant - Legal,JP000447,Legal,Senior Consultant,Internal Services,C019,LOC000408,United States,Americas,CC000225,SO000762,W00000398,W00004360,Open,Approved,Replacement,Regular,Employee,2,1,2025-03-05,,2025-07-29,,Direct Apply,High,False,False
JR00000740,Analyst - Regulatory Risk,JP000181,Regulatory Risk,Analyst,Risk Advisory,C006,LOC000063,Brazil,Americas,CC001652,SO000042,W00004193,W00001087,Filled,Approved,Growth,Regular,Employee,1,1,2025-03-21,2025-04-19,2025-06-10,29,Internal Mobility,High,False,False
JR00000741,Senior Consultant - Marketing,JP000581,Marketing,Senior Consultant,Internal Services,C010,LOC000467,Spain,EMEA,CC000870,SO002232,W00003594,W00001479,Filled,Approved,Replacement,Contractor,Contractor,1,1,2023-04-22,2023-07-03,2023-09-14,72,LinkedIn,High,False,False
JR00000742,Consultant - Finance,JP000265,Finance,Consultant,Internal Services,C033,LOC000156,Germany,EMEA,CC000922,SO001405,W00001286,W00003191,On Hold,Approved,Growth,Intern,Intern,8,0,2022-06-13,,2022-10-20,,Direct Apply,High,False,False
JR00000743,Analyst - Marketing,JP000289,Marketing,Analyst,Internal Services,C011,LOC000208,Germany,EMEA,CC002008,SO001979,W00003658,W00004631,Filled,Approved,Growth,Regular,Employee,1,1,2021-12-10,2022-03-02,2022-05-15,82,Direct Apply,Medium,False,False
JR00000744,Analyst - Human Capital,JP000108,Human Capital,Analyst,Consulting,C018,LOC000076,Germany,EMEA,CC001832,SO001328,W00004018,W00000068,Open,Pending Approval,Campus Hiring,Intern,Intern,14,0,2025-05-30,,2025-10-12,,Internal Mobility,Medium,False,False
JR00000745,Director - Mergers and Acquisitions,JP000586,Mergers and Acquisitions,Director,Deals,C022,LOC000737,Mexico,Americas,CC002078,SO000746,W00004664,W00003543,Filled,Approved,Backfill,Regular,Employee,1,1,2022-03-20,2022-06-09,2022-09-01,81,Direct Apply,Medium,False,False
JR00000746,Senior Consultant - Data and Analytics,JP000349,Data and Analytics,Senior Consultant,Consulting,C018,LOC000390,Germany,EMEA,CC001767,SO001328,W00003607,W00001751,Open,Approved,Backfill,Regular,Employee,1,0,2023-04-16,,2023-09-14,,LinkedIn,Critical,True,False
JR00000747,Consultant - Finance,JP000242,Finance,Consultant,Internal Services,C014,LOC000666,Germany,EMEA,CC000004,SO000954,W00004613,W00000551,Draft,Draft,Replacement,Regular,Employee,1,0,2025-11-28,,2025-12-30,,Direct Apply,High,False,False
JR00000748,Senior Manager - Technology Consulting,JP000316,Technology Consulting,Senior Manager,Consulting,C034,LOC000586,Australia,APAC,CC002331,SO001214,W00004586,W00001840,Filled,Approved,Replacement,Regular,Employee,1,1,2021-10-24,2021-12-16,2022-01-11,53,Agency,Critical,True,False
JR00000749,Senior Consultant - Operations,JP000468,Operations,Senior Consultant,Consulting,C035,LOC000420,India,APAC,CC001567,SO001108,W00002865,W00002826,On Hold,Approved,Campus Hiring,Intern,Intern,23,0,2023-10-07,,2024-03-31,,Employee Referral,Medium,False,False
JR00000750,Analyst - Mergers and Acquisitions,JP000438,Mergers and Acquisitions,Analyst,Deals,C018,LOC000054,Germany,EMEA,CC001280,SO001266,W00004486,W00001379,On Hold,Approved,Replacement,Fixed Term,Employee,3,0,2023-08-20,,2024-01-02,,Agency,Medium,False,False
JR00000751,Senior Manager - Legal,JP000329,Legal,Senior Manager,Internal Services,C003,LOC000331,Germany,EMEA,CC002369,SO001263,W00000329,W00003048,Filled,Approved,Replacement,Contractor,Contractor,2,2,2021-04-20,2021-05-15,2021-09-07,25,Direct Apply,Low,False,False
JR00000752,Director - Mergers and Acquisitions,JP000586,Mergers and Acquisitions,Director,Deals,C034,LOC000529,Australia,APAC,CC001966,SO001380,W00004130,W00004800,Filled,Approved,Growth,Intern,Intern,2,2,2022-08-07,2022-10-27,2022-12-02,81,Direct Apply,Medium,False,False
JR00000753,Manager - Marketing,JP000543,Marketing,Manager,Internal Services,C003,LOC000394,Germany,EMEA,CC002068,SO000009,W00003458,W00003957,Open,Approved,Replacement,Regular,Employee,1,0,2022-05-31,,2022-10-05,,Direct Apply,Medium,False,False
JR00000754,Analyst - Corporate Tax,JP000454,Corporate Tax,Analyst,Tax,C032,LOC000070,South Africa,EMEA,CC002060,SO002136,W00003373,W00003871,Filled,Approved,Campus Hiring,Regular,Employee,18,18,2022-11-05,2023-01-07,2023-04-15,63,Direct Apply,Low,False,False
JR00000755,Consultant - Cyber Risk,JP000425,Cyber Risk,Consultant,Risk Advisory,C038,LOC000018,Japan,APAC,CC000140,SO000365,W00000413,W00001160,Filled,Approved,Growth,Regular,Employee,1,1,2022-08-09,2022-11-08,2022-11-21,91,Direct Apply,Critical,True,False
JR00000756,Manager - Mergers and Acquisitions,JP000490,Mergers and Acquisitions,Manager,Deals,C039,LOC000336,United States,Americas,CC000734,SO000631,W00000570,W00001103,Filled,Approved,Backfill,Regular,Employee,1,1,2022-06-12,2022-07-02,2022-12-04,20,Employee Referral,Medium,False,False
JR00000757,Senior Manager - Finance,JP000401,Finance,Senior Manager,Internal Services,C035,LOC000108,India,APAC,CC001391,SO000953,W00000316,W00003626,Open,Approved,Backfill,Contractor,Contractor,1,0,2025-08-27,,2025-10-28,,Direct Apply,Critical,False,False
JR00000758,Analyst - Legal,JP000584,Legal,Analyst,Internal Services,C024,LOC000625,India,APAC,CC002009,SO000688,W00001215,W00001197,Open,Approved,Replacement,Contractor,Contractor,1,0,2025-07-15,,2025-08-15,,Direct Apply,High,False,False
JR00000759,Senior Manager - Audit Assurance,JP000306,Audit Assurance,Senior Manager,Audit,C019,LOC000478,United States,Americas,CC002357,SO001830,W00003790,W00000780,Filled,Approved,Internal Mobility,Contractor,Contractor,1,1,2025-08-22,2025-09-25,2025-12-31,34,LinkedIn,Medium,False,False
JR00000760,Senior Consultant - Technology Consulting,JP000416,Technology Consulting,Senior Consultant,Consulting,C017,LOC000071,Australia,APAC,CC002279,SO000530,W00001216,W00004984,Filled,Approved,Replacement,Intern,Intern,10,10,2023-07-15,2023-09-30,2023-08-27,77,Direct Apply,Medium,True,False
JR00000761,Senior Consultant - Technology Consulting,JP000428,Technology Consulting,Senior Consultant,Consulting,C017,LOC000043,Australia,APAC,CC000865,SO000809,W00003790,W00003476,Filled,Pending Approval,Replacement,Intern,Intern,2,2,2023-01-28,2023-03-20,2023-04-29,51,Direct Apply,Critical,True,False
JR00000762,Analyst - Cyber Risk,JP000178,Cyber Risk,Analyst,Risk Advisory,C034,LOC000126,Australia,APAC,CC002403,SO002488,W00000330,W00003196,Open,Approved,Campus Hiring,Regular,Employee,19,8,2024-06-19,,2024-12-12,,Internal Mobility,Medium,True,False
JR00000763,Analyst - Human Capital,JP000596,Human Capital,Analyst,Consulting,C039,LOC000008,United States,Americas,CC000240,SO001510,W00002353,W00003078,Filled,Approved,Replacement,Regular,Employee,1,1,2025-11-17,2025-12-31,2025-12-31,44,Direct Apply,Medium,False,False
JR00000764,Consultant - Corporate Tax,JP000589,Corporate Tax,Consultant,Tax,C018,LOC000361,Germany,EMEA,CC000077,SO001012,W00002637,W00004909,Filled,Approved,Growth,Regular,Employee,1,1,2021-03-22,2021-06-07,2021-07-25,77,Employee Referral,Medium,False,False
JR00000765,Consultant - Human Resources,JP000211,Human Resources,Consultant,Internal Services,C032,LOC000070,South Africa,EMEA,CC000126,SO001677,W00001762,W00004390,Filled,Pending Approval,Campus Hiring,Intern,Intern,11,11,2021-12-27,2022-02-18,2022-06-03,53,Direct Apply,High,False,False
JR00000766,Consultant - Audit Assurance,JP000495,Audit Assurance,Consultant,Audit,C030,LOC000199,India,APAC,CC000294,SO002289,W00004146,W00002544,Open,Approved,Internal Mobility,Regular,Employee,1,0,2022-07-21,,2022-11-04,,LinkedIn,Medium,False,False
JR00000767,Senior Manager - Finance,JP000401,Finance,Senior Manager,Internal Services,C018,LOC000154,Germany,EMEA,CC001420,SO002244,W00004176,W00004617,Filled,Approved,Replacement,Regular,Employee,1,1,2024-11-11,2024-12-29,2025-02-17,48,LinkedIn,Medium,False,False
JR00000768,Analyst - Strategy Consulting,JP000063,Strategy Consulting,Analyst,Consulting,C038,LOC000481,Japan,APAC,CC002455,SO002067,W00000154,W00002122,Filled,Approved,Growth,Regular,Employee,1,1,2022-05-27,2022-08-01,2022-08-25,66,Agency,Critical,True,False
JR00000769,Consultant - Operations,JP000293,Operations,Consultant,Consulting,C013,LOC000380,United Arab Emirates,EMEA,CC001795,SO000948,W00003327,W00001573,Filled,Approved,Backfill,Regular,Employee,3,3,2022-04-19,2022-08-11,2022-05-25,114,Internal Mobility,Medium,False,False
JR00000770,Consultant - Information Technology,JP000036,Information Technology,Consultant,Internal Services,C011,LOC000732,Germany,EMEA,CC001199,SO000373,W00003168,W00004360,Filled,Approved,Replacement,Fixed Term,Employee,1,1,2024-03-09,2024-04-02,2024-06-19,24,Campus,Critical,True,False
JR00000771,Analyst - Finance,JP000046,Finance,Analyst,Internal Services,C008,LOC000474,Australia,APAC,CC001501,SO000109,W00004571,W00004205,Open,Approved,Replacement,Regular,Employee,1,0,2024-05-18,,2024-09-17,,Direct Apply,Medium,False,False
JR00000772,Consultant - Strategy Consulting,JP000179,Strategy Consulting,Consultant,Consulting,C010,LOC000232,Spain,EMEA,CC002119,SO001316,W00000180,W00000432,Filled,Approved,Replacement,Regular,Employee,1,1,2024-05-11,2024-08-23,2024-09-14,104,Direct Apply,Critical,True,False
JR00000773,Senior Manager - Information Technology,JP000423,Information Technology,Senior Manager,Internal Services,C006,LOC000122,Brazil,Americas,CC001652,SO001242,W00000231,W00001210,Filled,Approved,Internal Mobility,Regular,Employee,1,1,2024-12-21,2025-02-03,2025-05-04,44,LinkedIn,Medium,True,False
JR00000774,Analyst - Audit Assurance,JP000539,Audit Assurance,Analyst,Audit,C016,LOC000366,India,APAC,CC002399,SO001726,W00000961,W00001201,On Hold,Approved,Replacement,Regular,Employee,1,0,2022-02-14,,2022-05-11,,Direct Apply,Medium,False,False
JR00000775,Manager - Cyber Risk,JP000025,Cyber Risk,Manager,Risk Advisory,C004,LOC000105,India,APAC,CC001775,SO000942,W00000597,W00002025,Filled,Approved,Replacement,Regular,Employee,1,1,2022-02-20,2022-04-01,2022-06-06,40,Direct Apply,Critical,True,False
JR00000776,Manager - Marketing,JP000418,Marketing,Manager,Internal Services,C008,LOC000109,Australia,APAC,CC001958,SO001161,W00002215,W00003028,Open,Approved,Backfill,Contractor,Contractor,1,0,2021-04-30,,2021-06-10,,Internal Mobility,Medium,False,False
JR00000777,Consultant - Technology Consulting,JP000545,Technology Consulting,Consultant,Consulting,C013,LOC000382,United Arab Emirates,EMEA,CC000006,SO000419,W00004754,W00004921,Closed Without Hire,Approved,Replacement,Fixed Term,Employee,1,0,2024-05-14,2024-07-26,2024-11-05,73,Direct Apply,Medium,True,False
JR00000778,Senior Consultant - Human Resources,JP000044,Human Resources,Senior Consultant,Internal Services,C028,LOC000532,Germany,EMEA,CC001553,SO002215,W00000860,W00000273,Filled,Approved,Growth,Regular,Employee,1,1,2024-06-03,2024-09-29,2024-10-21,118,Employee Referral,Medium,False,False
JR00000779,Consultant - Mergers and Acquisitions,JP000105,Mergers and Acquisitions,Consultant,Deals,C022,LOC000685,Mexico,Americas,CC002385,SO000680,W00000859,W00002067,Filled,Approved,Growth,Regular,Employee,1,1,2024-12-02,2025-03-23,2025-05-05,111,Direct Apply,High,False,False
JR00000780,Senior Manager - Audit Assurance,JP000529,Audit Assurance,Senior Manager,Audit,C012,LOC000152,United States,Americas,CC001375,SO000131,W00000791,W00000529,Open,Approved,Strategic Skill Build,Regular,Employee,4,1,2022-05-26,,2022-10-08,,Employee Referral,Medium,False,False
JR00000781,Senior Consultant - Mergers and Acquisitions,JP000030,Mergers and Acquisitions,Senior Consultant,Deals,C014,LOC000422,Germany,EMEA,CC001963,SO001177,W00003366,W00000390,Filled,Approved,Backfill,Regular,Employee,1,1,2025-11-25,2025-12-31,2025-12-31,36,LinkedIn,Low,False,False
JR00000782,Senior Consultant - Marketing,JP000047,Marketing,Senior Consultant,Internal Services,C010,LOC000500,Spain,EMEA,CC000775,SO000574,W00004374,W00002682,Filled,Approved,Growth,Regular,Employee,1,1,2021-01-09,2021-04-27,2021-04-27,108,Agency,Medium,False,False
JR00000783,Senior Consultant - Human Capital,JP000434,Human Capital,Senior Consultant,Consulting,C005,LOC000006,Netherlands,EMEA,CC000412,SO002384,W00004823,W00001568,Open,Approved,Replacement,Contractor,Contractor,1,0,2021-02-07,,2021-03-20,,LinkedIn,Medium,False,False
JR00000784,Consultant - Data and Analytics,JP000026,Data and Analytics,Consultant,Consulting,C012,LOC000110,United States,Americas,CC001540,SO000131,W00002662,W00000602,Open,Approved,Backfill,Regular,Employee,2,1,2023-03-06,,2023-05-13,,Direct Apply,Critical,True,False
JR00000785,Analyst - Strategy Consulting,JP000340,Strategy Consulting,Analyst,Consulting,C021,LOC000137,India,APAC,CC000518,SO001568,W00001535,W00004064,Filled,Rejected,Replacement,Regular,Employee,1,1,2023-06-25,2023-09-05,2023-07-27,72,Agency,Critical,True,False
JR00000786,Manager - Operations,JP000042,Operations,Manager,Consulting,C034,LOC000529,Australia,APAC,CC001156,SO000738,W00003871,W00003474,Closed Without Hire,Approved,Replacement,Regular,Employee,1,0,2022-02-26,2022-06-15,2022-07-01,109,Campus,High,False,True
JR00000787,Senior Consultant - Legal,JP000447,Legal,Senior Consultant,Internal Services,C029,LOC000605,Australia,APAC,CC000253,SO001521,W00001886,W00003316,Open,Approved,Campus Hiring,Intern,Intern,10,0,2022-04-05,,2022-08-30,,LinkedIn,Low,False,False
JR00000788,Analyst - Legal,JP000398,Legal,Analyst,Internal Services,C022,LOC000626,Mexico,Americas,CC002034,SO002249,W00004293,W00000808,Filled,Approved,Growth,Regular,Employee,2,2,2024-10-17,2025-01-04,2025-04-08,79,Employee Referral,Medium,False,False
JR00000789,Analyst - Strategy Consulting,JP000439,Strategy Consulting,Analyst,Consulting,C029,LOC000257,Australia,APAC,CC002469,SO002431,W00004888,W00004047,Filled,Approved,Replacement,Regular,Employee,2,2,2022-01-31,2022-02-23,2022-07-17,23,Direct Apply,Critical,True,False
JR00000790,Consultant - Data and Analytics,JP000104,Data and Analytics,Consultant,Consulting,C014,LOC000172,Germany,EMEA,CC000161,SO000597,W00000137,W00002626,Open,Approved,Growth,Regular,Employee,1,0,2025-03-14,,2025-06-09,,Employee Referral,Medium,True,False
JR00000791,Manager - Corporate Tax,JP000043,Corporate Tax,Manager,Tax,C027,LOC000624,United States,Americas,CC002255,SO002111,W00001401,W00004035,Filled,Approved,Replacement,Regular,Employee,1,1,2023-11-21,2024-01-17,2024-03-05,57,Direct Apply,Low,False,False
JR00000792,Senior Consultant - Human Resources,JP000275,Human Resources,Senior Consultant,Internal Services,C038,LOC000481,Japan,APAC,CC002407,SO001676,W00001750,W00004844,Filled,Approved,Campus Hiring,Intern,Intern,25,25,2024-12-04,2025-03-26,2025-02-23,112,Campus,Medium,False,False
JR00000793,Senior Manager - Finance,JP000594,Finance,Senior Manager,Internal Services,C010,LOC000143,Spain,EMEA,CC000173,SO001044,W00000339,W00004083,Filled,Approved,Replacement,Regular,Employee,3,3,2024-01-16,2024-04-26,2024-05-13,101,Campus,Medium,False,False
JR00000794,Analyst - Data and Analytics,JP000114,Data and Analytics,Analyst,Consulting,C012,LOC000672,United States,Americas,CC002033,SO001054,W00004068,W00003449,Filled,Approved,Growth,Regular,Employee,1,1,2024-07-05,2024-08-17,2024-11-18,43,Campus,Medium,True,False
JR00000795,Analyst - Mergers and Acquisitions,JP000184,Mergers and Acquisitions,Analyst,Deals,C001,LOC000356,Mexico,Americas,CC001861,SO000901,W00002424,W00003683,Draft,Draft,Backfill,Regular,Employee,1,0,2023-08-01,,2023-10-10,,Direct Apply,Medium,False,False
JR00000796,Analyst - Regulatory Risk,JP000181,Regulatory Risk,Analyst,Risk Advisory,C020,LOC000502,United Kingdom,EMEA,CC000542,SO000174,W00001022,W00002701,Filled,Approved,Internal Mobility,Regular,Employee,1,1,2024-06-12,2024-09-05,2024-08-09,85,Agency,Medium,False,False
JR00000797,Manager - Corporate Tax,JP000098,Corporate Tax,Manager,Tax,C003,LOC000065,Germany,EMEA,CC000673,SO002042,W00003873,W00004674,Open,Approved,Campus Hiring,Regular,Employee,5,4,2024-04-20,,2024-08-15,,Agency,Critical,False,True
JR00000798,Senior Manager - Corporate Tax,JP000235,Corporate Tax,Senior Manager,Tax,C010,LOC000492,Spain,EMEA,CC001123,SO000870,W00004565,W00004383,On Hold,Approved,Replacement,Regular,Employee,1,0,2022-12-22,,2023-04-21,,Direct Apply,High,False,False
JR00000799,Analyst - Data and Analytics,JP000466,Data and Analytics,Analyst,Consulting,C020,LOC000634,United Kingdom,EMEA,CC002323,SO000488,W00003455,W00003203,Open,Pending Approval,Campus Hiring,Intern,Intern,23,15,2023-08-01,,2023-11-10,,LinkedIn,Critical,True,False
JR00000800,Manager - Strategy Consulting,JP000115,Strategy Consulting,Manager,Consulting,C021,LOC000029,India,APAC,CC001468,SO000770,W00003506,W00000197,Filled,Approved,Replacement,Regular,Employee,1,1,2025-05-25,2025-09-06,2025-09-10,104,Talent Community,Critical,True,False
JR00000801,Analyst - Regulatory Risk,JP000422,Regulatory Risk,Analyst,Risk Advisory,C009,LOC000409,Mexico,Americas,CC000710,SO001308,W00003664,W00003767,Filled,Approved,Replacement,Regular,Employee,1,1,2025-05-10,2025-08-25,2025-07-13,107,LinkedIn,Low,False,False
JR00000802,Consultant - Legal,JP000348,Legal,Consultant,Internal Services,C027,LOC000727,United States,Americas,CC000540,SO002196,W00004745,W00001978,Filled,Approved,Replacement,Regular,Employee,1,1,2022-09-27,2023-01-11,2022-12-31,106,Employee Referral,Low,False,False
JR00000803,Consultant - Marketing,JP000165,Marketing,Consultant,Internal Services,C001,LOC000601,Mexico,Americas,CC001450,SO002324,W00003083,W00000541,Filled,Approved,Growth,Regular,Employee,1,1,2022-01-27,2022-03-17,2022-06-21,49,Direct Apply,High,False,False
JR00000804,Executive - Cyber Risk,JP000172,Cyber Risk,Executive,Risk Advisory,C008,LOC000719,Australia,APAC,CC000882,SO000358,W00001160,W00004090,Open,Approved,Replacement,Regular,Employee,2,1,2023-09-13,,2024-01-22,,Direct Apply,Critical,True,False
JR00000805,Senior Manager - Regulatory Risk,JP000143,Regulatory Risk,Senior Manager,Risk Advisory,C008,LOC000638,Australia,APAC,CC000438,SO001168,W00000129,W00000632,Filled,Approved,Internal Mobility,Fixed Term,Employee,1,1,2024-05-06,2024-08-01,2024-08-20,87,Campus,Medium,False,False
JR00000806,Manager - Marketing,JP000543,Marketing,Manager,Internal Services,C036,LOC000545,United States,Americas,CC001750,SO001282,W00002406,W00004345,Open,Approved,Internal Mobility,Regular,Employee,1,0,2021-06-21,,2021-08-05,,Campus,Medium,False,False
JR00000807,Senior Consultant - Mergers and Acquisitions,JP000090,Mergers and Acquisitions,Senior Consultant,Deals,C002,LOC000610,Brazil,Americas,CC002435,SO002098,W00004817,W00004776,Filled,Approved,Replacement,Regular,Employee,1,1,2022-02-12,2022-06-02,2022-05-02,110,Employee Referral,Low,False,False
JR00000808,Consultant - Marketing,JP000040,Marketing,Consultant,Internal Services,C011,LOC000608,Germany,EMEA,CC002062,SO000845,W00003450,W00000143,Filled,Approved,Backfill,Regular,Employee,2,2,2021-01-14,2021-02-14,2021-04-06,31,Agency,High,False,False
JR00000809,Consultant - Data and Analytics,JP000578,Data and Analytics,Consultant,Consulting,C022,LOC000080,Mexico,Americas,CC001947,SO002026,W00002347,W00003890,Filled,Pending Approval,Internal Mobility,Regular,Employee,2,2,2024-05-19,2024-07-25,2024-07-08,67,Direct Apply,Critical,True,False
JR00000810,Senior Consultant - Cyber Risk,JP000164,Cyber Risk,Senior Consultant,Risk Advisory,C006,LOC000373,Brazil,Americas,CC001678,SO000506,W00001021,W00004475,Filled,Approved,Replacement,Regular,Employee,1,1,2025-05-27,2025-08-26,2025-09-28,91,Direct Apply,Critical,True,False
JR00000811,Senior Manager - Mergers and Acquisitions,JP000399,Mergers and Acquisitions,Senior Manager,Deals,C025,LOC000200,India,APAC,CC001086,SO001700,W00001557,W00000061,Canceled,Approved,Growth,Regular,Employee,1,0,2022-04-09,2022-06-08,2022-09-11,60,Employee Referral,Medium,False,False
JR00000812,Senior Consultant - Information Technology,JP000126,Information Technology,Senior Consultant,Internal Services,C023,LOC000498,Australia,APAC,CC000227,SO001945,W00002211,W00004608,Open,Approved,Growth,Regular,Employee,3,1,2024-02-12,,2024-04-07,,Employee Referral,Critical,True,False
JR00000813,Consultant - Mergers and Acquisitions,JP000285,Mergers and Acquisitions,Consultant,Deals,C025,LOC000234,India,APAC,CC001511,SO001656,W00000403,W00003802,Filled,Approved,Replacement,Regular,Employee,1,1,2021-12-10,2022-01-20,2022-01-31,41,LinkedIn,Low,False,False
JR00000814,Director - Technology Consulting,JP000192,Technology Consulting,Director,Consulting,C021,LOC000517,India,APAC,CC001006,SO002017,W00000084,W00001445,Open,Approved,Internal Mobility,Regular,Employee,1,0,2021-07-26,,2021-09-21,,Employee Referral,Critical,True,False
JR00000815,Consultant - Marketing,JP000074,Marketing,Consultant,Internal Services,C032,LOC000423,South Africa,EMEA,CC000573,SO000155,W00000572,W00000402,Open,Approved,Growth,Regular,Employee,1,0,2023-12-08,,2024-02-21,,Direct Apply,High,False,False
JR00000816,Analyst - Technology Consulting,JP000255,Technology Consulting,Analyst,Consulting,C022,LOC000433,Mexico,Americas,CC001672,SO000680,W00003705,W00002054,Filled,Rejected,Campus Hiring,Regular,Employee,7,7,2025-07-14,2025-11-11,2025-10-30,120,Executive Search,Critical,True,False
JR00000817,Manager - Data and Analytics,JP000419,Data and Analytics,Manager,Consulting,C014,LOC000158,Germany,EMEA,CC001950,SO002313,W00004120,W00002821,Canceled,Approved,Replacement,Regular,Employee,1,0,2022-07-11,2022-08-27,2022-08-21,47,Direct Apply,Critical,True,False
JR00000818,Consultant - Regulatory Risk,JP000152,Regulatory Risk,Consultant,Risk Advisory,C020,LOC000540,United Kingdom,EMEA,CC000716,SO000257,W00001819,W00004057,On Hold,Approved,Growth,Regular,Employee,1,0,2025-07-29,,2025-09-17,,Direct Apply,High,False,False
JR00000819,Senior Consultant - Human Resources,JP000275,Human Resources,Senior Consultant,Internal Services,C038,LOC000141,Japan,APAC,CC001564,SO002183,W00003680,W00002339,Closed Without Hire,Approved,Replacement,Intern,Intern,2,0,2024-11-28,2025-02-04,2025-02-18,68,Executive Search,Medium,False,False
JR00000820,Consultant - Information Technology,JP000129,Information Technology,Consultant,Internal Services,C036,LOC000228,United States,Americas,CC002249,SO001788,W00003675,W00004828,Filled,Approved,Backfill,Regular,Employee,1,1,2024-03-05,2024-05-24,2024-05-12,80,Agency,Critical,True,False
