succession_candidate_id,pool_id,worker_id,readiness,risk_of_loss,potential_rating,performance_rating,succession_rank,development_need,mobility_preference,last_reviewed_date,active_candidate_flag
SC00000544,SP000002,W00000229,Ready 3+ Years,Low,High,Low,1,Financial Acumen,Regional,2026-02-20,True
SC00000545,SP000002,W00001612,Ready 1-2 Years,Low,Medium,High,5,Executive Presence,Local,2026-02-16,True
SC00000546,SP000005,W00003976,Ready < 1 Year,Medium,High,High,2,Executive Presence,Regional,2026-02-03,True
SC00000547,SP000006,W00000974,Ready 1-2 Years,Medium,Medium,High,5,GenAI Fluency,Local,2025-11-23,True
SC00000548,SP000001,W00002095,Ready 1-2 Years,Medium,High,Exceptional,4,Global Mobility,Local,2025-10-30,True
SC00000549,SP000001,W00001499,Ready < 1 Year,Low,High,Solid,3,People Leadership,Global,2026-01-20,True
SC00000550,SP000004,W00000445,Ready < 1 Year,High,Exceptional,High,1,Financial Acumen,Global,2026-03-22,True
SC00000551,SP000009,W00000445,Ready < 1 Year,High,Exceptional,High,1,GenAI Fluency,Local,2026-01-22,True
SC00000552,SP000002,W00004182,Ready < 1 Year,Medium,High,High,3,Financial Acumen,Regional,2025-10-08,True
SC00000553,SP000001,W00003360,Ready Now,High,Exceptional,High,2,Strategic Thinking,Local,2025-11-24,True
SC00000554,SP000006,W00003270,Ready 1-2 Years,Medium,High,High,2,Global Mobility,Local,2025-12-31,True
SC00000555,SP000005,W00001535,Ready 1-2 Years,Medium,Medium,High,1,GenAI Fluency,Regional,2026-01-22,True
SC00000556,SP000002,W00002593,Ready 1-2 Years,Low,High,Solid,2,Strategic Thinking,Remote-first,2026-03-01,True
SC00000557,SP000002,W00003848,Ready 3+ Years,Low,High,Solid,3,Executive Presence,Local,2026-01-28,True
SC00000558,SP000006,W00001435,Ready < 1 Year,High,High,High,3,People Leadership,Local,2025-10-01,True
SC00000559,SP000002,W00000113,Ready 1-2 Years,Low,Medium,Exceptional,3,Global Mobility,Remote-first,2026-03-30,True
SC00000560,SP000003,W00001158,Ready 1-2 Years,Medium,High,Exceptional,1,Strategic Thinking,Local,2026-02-11,True
SC00000561,SP000005,W00004052,Ready 1-2 Years,Low,High,Solid,4,GenAI Fluency,Regional,2026-02-06,True
SC00000562,SP000009,W00004052,Ready 1-2 Years,Low,High,Solid,5,GenAI Fluency,Local,2025-11-01,True
SC00000563,SP000002,W00003574,Ready 3+ Years,Medium,Medium,High,5,Financial Acumen,Global,2026-01-09,True
SC00000564,SP000007,W00003574,Ready 3+ Years,Medium,Medium,High,2,Strategic Thinking,Local,2026-01-31,True
SC00000565,SP000001,W00000546,Ready < 1 Year,High,High,Exceptional,3,Global Mobility,Regional,2026-02-13,True
SC00000566,SP000009,W00000546,Ready < 1 Year,High,High,Exceptional,4,GenAI Fluency,Global,2025-10-23,True
SC00000567,SP000004,W00001041,Ready < 1 Year,Medium,Medium,Exceptional,5,Strategic Thinking,Global,2025-12-02,True
SC00000568,SP000004,W00001771,Ready 3+ Years,Low,Medium,Exceptional,3,Global Mobility,Regional,2025-10-31,True
SC00000569,SP000006,W00003040,Ready 3+ Years,Medium,Medium,High,2,Global Mobility,Local,2026-02-13,True
SC00000570,SP000007,W00003040,Ready 3+ Years,Medium,Medium,High,1,Global Mobility,Remote-first,2025-11-14,True
SC00000571,SP000001,W00002611,Ready Now,Medium,High,Exceptional,5,Strategic Thinking,Local,2025-12-08,True
SC00000572,SP000006,W00000212,Ready < 1 Year,Medium,High,High,2,Financial Acumen,Local,2025-12-19,True
SC00000573,SP000007,W00000212,Ready < 1 Year,Medium,High,High,1,GenAI Fluency,Local,2025-12-20,True
SC00000574,SP000001,W00002388,Ready Now,High,High,High,1,Global Mobility,Remote-first,2026-02-23,True
SC00000575,SP000001,W00002383,Ready Now,Low,Medium,High,3,Financial Acumen,Local,2026-01-23,True
SC00000576,SP000004,W00000613,Ready 1-2 Years,Low,High,Solid,1,Strategic Thinking,Local,2025-10-26,True
SC00000577,SP000001,W00002159,Ready 1-2 Years,Medium,Medium,High,2,Global Mobility,Regional,2026-01-27,True
SC00000578,SP000005,W00002296,Ready 1-2 Years,High,High,High,1,People Leadership,Local,2025-12-10,True
SC00000579,SP000007,W00002296,Ready 1-2 Years,High,High,High,2,People Leadership,Remote-first,2026-02-14,True
SC00000580,SP000004,W00003277,Ready 1-2 Years,Low,Medium,Exceptional,4,Financial Acumen,Global,2025-11-05,True
SC00000581,SP000005,W00002241,Ready 1-2 Years,Medium,Medium,High,5,People Leadership,Local,2026-02-11,True
SC00000582,SP000008,W00002241,Ready 1-2 Years,Medium,Medium,High,2,Executive Presence,Regional,2026-03-16,True
SC00000583,SP000002,W00003563,Ready < 1 Year,Medium,High,High,5,Global Mobility,Local,2026-03-06,True
SC00000584,SP000005,W00000503,Ready 3+ Years,Low,High,Solid,4,GenAI Fluency,Global,2025-11-02,True
SC00000585,SP000002,W00000776,Ready < 1 Year,Medium,Exceptional,High,5,Strategic Thinking,Local,2025-12-08,True
SC00000586,SP000006,W00004529,Ready 3+ Years,Low,Low,Solid,1,Global Mobility,Regional,2025-11-25,True
SC00000587,SP000004,W00000850,Ready < 1 Year,Medium,High,Solid,2,People Leadership,Global,2026-01-30,True
SC00000588,SP000002,W00000128,Ready < 1 Year,Medium,High,Exceptional,3,Strategic Thinking,Local,2025-11-17,True
SC00000589,SP000004,W00003109,Ready 3+ Years,Medium,High,Solid,3,Financial Acumen,Local,2025-12-01,True
SC00000590,SP000005,W00003765,Ready 3+ Years,Medium,Medium,High,4,Global Mobility,Local,2025-11-03,True
SC00000591,SP000002,W00003614,Ready 1-2 Years,Medium,Exceptional,High,3,Strategic Thinking,Local,2026-01-25,True
SC00000592,SP000002,W00002102,Ready Now,Medium,High,High,1,People Leadership,Local,2025-12-30,True
SC00000593,SP000008,W00002102,Ready Now,Medium,High,High,1,Global Mobility,Local,2026-03-07,True
SC00000594,SP000002,W00004269,Ready 3+ Years,Medium,High,Low,2,Global Mobility,Regional,2025-10-27,True
SC00000595,SP000007,W00004269,Ready 3+ Years,Medium,High,Low,2,Strategic Thinking,Local,2026-02-13,True
SC00000596,SP000001,W00001137,Ready 1-2 Years,Low,High,Solid,1,Strategic Thinking,Global,2026-02-04,True
SC00000597,SP000006,W00002766,Ready 1-2 Years,Medium,High,Exceptional,5,GenAI Fluency,Remote-first,2025-10-08,True
SC00000598,SP000001,W00002117,Ready Now,Medium,Medium,Exceptional,3,GenAI Fluency,Global,2026-02-09,True
SC00000599,SP000006,W00001151,Ready 1-2 Years,Medium,High,Solid,4,People Leadership,Global,2026-02-15,True
SC00000600,SP000004,W00001224,Ready < 1 Year,Medium,High,High,4,Financial Acumen,Regional,2026-01-17,True
SC00000601,SP000004,W00003008,Ready 1-2 Years,Low,High,Solid,2,Executive Presence,Local,2025-10-15,True
SC00000602,SP000002,W00000266,Ready 1-2 Years,Medium,High,Solid,5,Strategic Thinking,Global,2025-12-17,True
SC00000603,SP000006,W00000901,Ready 1-2 Years,Low,Medium,High,5,People Leadership,Local,2026-03-31,True
SC00000604,SP000001,W00004191,Ready 1-2 Years,Low,Medium,High,3,Strategic Thinking,Global,2025-11-16,True
SC00000605,SP000002,W00004011,Ready Now,Medium,Exceptional,Solid,2,GenAI Fluency,Global,2026-02-04,True
SC00000606,SP000004,W00003718,Ready < 1 Year,Medium,High,High,1,Financial Acumen,Local,2025-10-16,True
SC00000607,SP000001,W00002736,Ready 1-2 Years,Medium,High,High,3,People Leadership,Remote-first,2025-12-10,True
SC00000608,SP000006,W00003636,Ready 3+ Years,Medium,Medium,High,3,Strategic Thinking,Local,2025-11-26,True
SC00000609,SP000002,W00000930,Ready 3+ Years,Low,High,Solid,2,Strategic Thinking,Local,2026-02-11,True
SC00000610,SP000009,W00000930,Ready 3+ Years,Low,High,Solid,1,People Leadership,Local,2026-02-10,True
SC00000611,SP000006,W00000992,Ready 3+ Years,Low,High,Solid,1,Global Mobility,Global,2025-11-18,True
SC00000612,SP000004,W00004601,Ready 3+ Years,Medium,High,Solid,2,Strategic Thinking,Local,2025-12-25,True
SC00000613,SP000001,W00002631,Ready < 1 Year,Medium,High,High,5,People Leadership,Regional,2026-02-17,True
SC00000614,SP000009,W00002631,Ready < 1 Year,Medium,High,High,4,Global Mobility,Regional,2026-03-19,True
SC00000615,SP000002,W00004660,Ready < 1 Year,High,Low,High,5,Executive Presence,Local,2026-01-18,True
SC00000616,SP000005,W00000844,Ready 1-2 Years,Low,High,Solid,3,People Leadership,Local,2026-02-11,True
SC00000617,SP000002,W00000923,Ready Now,High,Exceptional,High,5,GenAI Fluency,Local,2025-10-29,True
SC00000618,SP000005,W00000888,Ready 1-2 Years,High,High,High,5,Strategic Thinking,Local,2026-03-24,True
SC00000619,SP000005,W00000296,Ready 3+ Years,Medium,Medium,High,5,Financial Acumen,Local,2025-12-21,True
SC00000620,SP000006,W00000764,Ready < 1 Year,Medium,High,High,3,Global Mobility,Regional,2026-03-19,True
SC00000621,SP000001,W00002186,Ready < 1 Year,Medium,High,Exceptional,1,Executive Presence,Global,2025-10-12,True
SC00000622,SP000004,W00004873,Ready < 1 Year,Medium,High,High,2,Executive Presence,Global,2025-10-27,True
SC00000623,SP000007,W00004873,Ready < 1 Year,Medium,High,High,4,Global Mobility,Local,2026-01-03,True
SC00000624,SP000001,W00003347,Ready < 1 Year,Medium,High,High,4,Strategic Thinking,Global,2025-10-11,True
SC00000625,SP000008,W00003347,Ready < 1 Year,Medium,High,High,1,Executive Presence,Regional,2025-12-22,True
SC00000626,SP000001,W00000307,Ready Now,Low,Medium,High,2,People Leadership,Local,2025-10-06,True
SC00000627,SP000009,W00000307,Ready Now,Low,Medium,High,5,GenAI Fluency,Local,2026-03-10,True
SC00000628,SP000005,W00001787,Ready 3+ Years,Medium,Medium,Exceptional,3,Global Mobility,Local,2026-01-29,True
SC00000629,SP000002,W00000079,Ready 3+ Years,Low,Medium,High,2,Global Mobility,Local,2026-03-25,True
SC00000630,SP000004,W00002460,Ready 3+ Years,Low,High,Low,1,Financial Acumen,Local,2026-01-01,True
SC00000631,SP000006,W00002097,Ready 1-2 Years,Medium,Exceptional,High,4,Executive Presence,Regional,2025-10-31,True
SC00000632,SP000002,W00000078,Ready Now,Medium,High,Exceptional,4,Financial Acumen,Regional,2026-01-06,True
SC00000633,SP000005,W00002624,Ready 1-2 Years,Medium,Exceptional,Exceptional,4,Strategic Thinking,Local,2025-12-20,True
SC00000634,SP000007,W00002624,Ready 1-2 Years,Medium,Exceptional,Exceptional,1,Financial Acumen,Local,2025-12-20,True
SC00000635,SP000001,W00001767,Ready < 1 Year,High,Exceptional,High,3,Global Mobility,Local,2026-03-16,True
SC00000636,SP000006,W00003251,Ready < 1 Year,Medium,High,High,1,GenAI Fluency,Global,2025-12-02,True
SC00000637,SP000002,W00001900,Ready < 1 Year,Low,High,Solid,3,People Leadership,Local,2026-02-14,True
SC00000638,SP000002,W00000045,Ready Now,Medium,High,High,4,Executive Presence,Regional,2026-03-25,True
SC00000639,SP000004,W00001466,Ready Now,Medium,Exceptional,High,3,Financial Acumen,Remote-first,2025-11-22,True
SC00000640,SP000002,W00003315,Ready Now,Medium,High,High,4,Global Mobility,Local,2025-11-22,True
SC00000641,SP000001,W00003262,Ready 1-2 Years,High,High,High,2,Global Mobility,Local,2026-01-10,True
SC00000642,SP000008,W00003262,Ready 1-2 Years,High,High,High,2,Strategic Thinking,Remote-first,2025-10-28,True
SC00000643,SP000002,W00004267,Ready Now,High,High,High,5,Global Mobility,Local,2026-01-21,True
SC00000644,SP000008,W00004267,Ready Now,High,High,High,4,GenAI Fluency,Remote-first,2025-11-05,True
SC00000645,SP000006,W00000683,Ready 3+ Years,Low,Medium,Exceptional,2,Global Mobility,Local,2025-10-01,True
SC00000646,SP000007,W00000683,Ready 3+ Years,Low,Medium,Exceptional,1,Financial Acumen,Remote-first,2026-02-01,True
SC00000647,SP000002,W00002190,Ready Now,Medium,Exceptional,High,4,Financial Acumen,Global,2025-11-29,True
SC00000648,SP000003,W00002369,Ready 1-2 Years,Low,Medium,Solid,4,Executive Presence,Regional,2025-11-23,True
SC00000649,SP000002,W00003807,Ready 1-2 Years,Low,High,Solid,4,Strategic Thinking,Local,2026-01-15,True
SC00000650,SP000004,W00002642,Ready 1-2 Years,High,High,Exceptional,3,Executive Presence,Regional,2025-12-15,True
SC00000651,SP000002,W00003037,Ready < 1 Year,High,High,High,3,Strategic Thinking,Remote-first,2026-03-13,True
SC00000652,SP000002,W00004371,Ready 1-2 Years,Medium,High,High,3,People Leadership,Regional,2026-01-17,True
SC00000653,SP000002,W00004787,Ready 3+ Years,Medium,Medium,High,4,Strategic Thinking,Global,2025-12-19,True
SC00000654,SP000009,W00004787,Ready 3+ Years,Medium,Medium,High,4,Executive Presence,Global,2025-12-20,True
SC00000655,SP000006,W00004941,Ready 1-2 Years,Low,High,Solid,2,Strategic Thinking,Regional,2025-10-30,True
SC00000656,SP000008,W00004941,Ready 1-2 Years,Low,High,Solid,4,Global Mobility,Global,2026-01-19,True
SC00000657,SP000006,W00000465,Ready 1-2 Years,Low,High,Solid,2,People Leadership,Local,2026-03-27,True
SC00000658,SP000009,W00000465,Ready 1-2 Years,Low,High,Solid,3,Global Mobility,Global,2025-10-21,True
SC00000659,SP000006,W00003817,Ready < 1 Year,Medium,High,High,2,Strategic Thinking,Local,2026-01-11,True
SC00000660,SP000006,W00003884,Ready 3+ Years,Low,Medium,High,4,Strategic Thinking,Local,2026-01-22,True
SC00000661,SP000002,W00001267,Ready 1-2 Years,High,High,High,2,Strategic Thinking,Remote-first,2025-10-24,True
SC00000662,SP000008,W00001267,Ready 1-2 Years,High,High,High,3,Strategic Thinking,Local,2025-12-05,True
SC00000663,SP000005,W00004845,Ready < 1 Year,Medium,Exceptional,Solid,2,Executive Presence,Global,2025-10-25,True
SC00000664,SP000006,W00000662,Ready < 1 Year,Medium,Exceptional,High,1,Executive Presence,Local,2026-03-30,True
SC00000665,SP000008,W00000662,Ready < 1 Year,Medium,Exceptional,High,4,Financial Acumen,Global,2026-03-12,True
SC00000666,SP000006,W00004588,Ready 1-2 Years,Low,Medium,Low,5,GenAI Fluency,Regional,2025-12-05,True
SC00000667,SP000002,W00001584,Ready < 1 Year,High,Exceptional,High,3,Global Mobility,Global,2026-01-14,True
SC00000668,SP000003,W00003302,Ready Now,Medium,High,Solid,2,Global Mobility,Regional,2025-11-01,True
SC00000669,SP000006,W00002330,Ready < 1 Year,Medium,High,Exceptional,4,Strategic Thinking,Global,2025-10-20,True
SC00000670,SP000008,W00002330,Ready < 1 Year,Medium,High,Exceptional,5,Executive Presence,Regional,2025-10-20,True
SC00000671,SP000002,W00001626,Ready Now,Medium,High,Solid,5,Strategic Thinking,Remote-first,2025-10-23,True
SC00000672,SP000001,W00001410,Ready 3+ Years,Medium,Low,High,1,Executive Presence,Local,2026-03-24,True
SC00000673,SP000009,W00001410,Ready 3+ Years,Medium,Low,High,4,Executive Presence,Remote-first,2025-12-15,True
SC00000674,SP000006,W00004969,Ready 1-2 Years,Medium,Medium,High,3,GenAI Fluency,Regional,2025-11-28,True
SC00000675,SP000009,W00004969,Ready 1-2 Years,Medium,Medium,High,5,Financial Acumen,Local,2025-10-19,True
SC00000676,SP000006,W00003678,Ready 1-2 Years,Low,Medium,High,5,Global Mobility,Global,2025-10-19,True
SC00000677,SP000002,W00004973,Ready < 1 Year,Medium,High,Solid,5,GenAI Fluency,Remote-first,2026-02-18,True
SC00000678,SP000007,W00004973,Ready < 1 Year,Medium,High,Solid,4,People Leadership,Local,2026-03-14,True
SC00000679,SP000006,W00001169,Ready < 1 Year,Medium,High,High,2,GenAI Fluency,Local,2026-03-13,True
SC00000680,SP000003,W00002301,Ready 3+ Years,Medium,Medium,High,5,Executive Presence,Local,2026-03-16,True
SC00000681,SP000002,W00003023,Ready < 1 Year,Low,Medium,Exceptional,4,Strategic Thinking,Global,2026-03-13,True
SC00000682,SP000002,W00004206,Ready 1-2 Years,Medium,Medium,High,1,People Leadership,Remote-first,2026-03-26,True
SC00000683,SP000005,W00003919,Ready < 1 Year,Medium,Exceptional,High,1,Strategic Thinking,Local,2026-02-15,True
SC00000684,SP000002,W00003838,Ready < 1 Year,Medium,Exceptional,High,3,Strategic Thinking,Local,2026-02-02,True
SC00000685,SP000008,W00003838,Ready < 1 Year,Medium,Exceptional,High,1,People Leadership,Remote-first,2026-02-13,True
SC00000686,SP000006,W00004482,Ready 3+ Years,Low,Medium,Solid,3,Global Mobility,Local,2026-01-21,True
SC00000687,SP000006,W00004380,Ready 1-2 Years,Medium,High,Solid,4,Global Mobility,Regional,2025-11-14,True
SC00000688,SP000005,W00001166,Ready 3+ Years,Medium,High,Solid,4,Financial Acumen,Global,2026-03-08,True
SC00000689,SP000007,W00001166,Ready 3+ Years,Medium,High,Solid,1,Global Mobility,Regional,2026-03-30,True
SC00000690,SP000001,W00004147,Ready Now,High,Exceptional,Exceptional,5,GenAI Fluency,Global,2026-03-10,True
SC00000691,SP000002,W00004673,Ready Now,Low,High,Solid,5,Executive Presence,Local,2026-02-03,True
SC00000692,SP000001,W00000210,Ready 3+ Years,Low,Medium,Exceptional,1,Financial Acumen,Remote-first,2026-01-03,True
SC00000693,SP000001,W00001455,Ready 1-2 Years,Low,Medium,High,4,GenAI Fluency,Global,2026-01-19,True
SC00000694,SP000005,W00001238,Ready 1-2 Years,Medium,High,Solid,3,Global Mobility,Global,2026-02-06,True
SC00000695,SP000001,W00000774,Ready 1-2 Years,Medium,Low,High,1,GenAI Fluency,Global,2025-10-14,True
SC00000696,SP000006,W00003473,Ready < 1 Year,Medium,High,Solid,4,Strategic Thinking,Local,2025-11-24,True
SC00000697,SP000002,W00004316,Ready < 1 Year,Medium,Medium,Exceptional,2,Strategic Thinking,Global,2026-03-03,True
SC00000698,SP000004,W00002549,Ready 3+ Years,Low,Medium,High,1,People Leadership,Local,2026-02-02,True
SC00000699,SP000004,W00000954,Ready 3+ Years,Medium,High,Low,3,Global Mobility,Local,2025-11-24,True
SC00000700,SP000005,W00003239,Ready 1-2 Years,Medium,High,Low,4,Global Mobility,Regional,2026-03-09,True
SC00000701,SP000003,W00000653,Ready 1-2 Years,Medium,Exceptional,High,3,Global Mobility,Local,2025-11-30,True
SC00000702,SP000003,W00003657,Ready 1-2 Years,Low,High,Solid,3,GenAI Fluency,Local,2026-03-21,True
SC00000703,SP000001,W00000579,Ready < 1 Year,Medium,High,Exceptional,1,Global Mobility,Local,2026-03-07,True
SC00000704,SP000001,W00004704,Ready Now,Medium,Medium,High,5,Financial Acumen,Regional,2025-12-21,True
SC00000705,SP000007,W00004704,Ready Now,Medium,Medium,High,3,People Leadership,Local,2026-01-18,True
SC00000706,SP000002,W00003309,Ready 1-2 Years,Medium,High,High,4,Financial Acumen,Global,2025-11-30,True
SC00000707,SP000002,W00004065,Ready < 1 Year,Medium,High,Solid,4,Financial Acumen,Local,2026-01-13,True
SC00000708,SP000009,W00004065,Ready < 1 Year,Medium,High,Solid,1,Executive Presence,Regional,2025-10-31,True
SC00000709,SP000002,W00004797,Ready 3+ Years,Low,High,Low,5,Strategic Thinking,Local,2025-11-09,True
SC00000710,SP000008,W00004797,Ready 3+ Years,Low,High,Low,2,GenAI Fluency,Regional,2026-03-24,True
SC00000711,SP000002,W00002398,Ready 3+ Years,Low,High,Solid,1,GenAI Fluency,Local,2026-03-03,True
SC00000712,SP000001,W00000417,Ready 3+ Years,Medium,Medium,High,5,Financial Acumen,Local,2026-03-04,True
SC00000713,SP000005,W00004638,Ready 1-2 Years,Medium,Medium,High,3,Financial Acumen,Local,2025-11-07,True
SC00000714,SP000009,W00004638,Ready 1-2 Years,Medium,Medium,High,5,GenAI Fluency,Global,2025-10-26,True
SC00000715,SP000001,W00003856,Ready 1-2 Years,Low,Medium,High,3,Executive Presence,Local,2026-01-22,True
SC00000716,SP000005,W00002648,Ready 1-2 Years,Low,Medium,Low,1,Financial Acumen,Local,2026-01-05,True
SC00000717,SP000002,W00000139,Ready Now,High,High,Exceptional,2,Global Mobility,Remote-first,2026-02-19,True
SC00000718,SP000004,W00003024,Ready 1-2 Years,Medium,Low,High,2,Executive Presence,Local,2026-02-13,True
SC00000719,SP000005,W00000522,Ready < 1 Year,Medium,Exceptional,Solid,4,GenAI Fluency,Remote-first,2025-11-15,True
SC00000720,SP000008,W00000522,Ready < 1 Year,Medium,Exceptional,Solid,1,Financial Acumen,Local,2025-11-15,True
SC00000721,SP000006,W00002999,Ready < 1 Year,High,Exceptional,High,2,Executive Presence,Local,2025-11-13,True
SC00000722,SP000002,W00000566,Ready < 1 Year,Medium,High,High,4,Financial Acumen,Local,2026-01-17,True
SC00000723,SP000002,W00001328,Ready 3+ Years,Low,Medium,High,1,Executive Presence,Global,2026-01-05,True
SC00000724,SP000009,W00001328,Ready 3+ Years,Low,Medium,High,2,Global Mobility,Regional,2025-12-03,True
SC00000725,SP000001,W00001536,Ready 1-2 Years,Medium,High,Solid,2,Financial Acumen,Regional,2025-10-16,True
SC00000726,SP000008,W00001536,Ready 1-2 Years,Medium,High,Solid,1,Strategic Thinking,Local,2025-11-26,True
SC00000727,SP000002,W00000787,Ready 1-2 Years,Low,High,Solid,1,Global Mobility,Local,2026-02-04,True
SC00000728,SP000002,W00000912,Ready < 1 Year,Medium,High,Solid,4,Financial Acumen,Local,2026-02-23,True
SC00000729,SP000002,W00002566,Ready < 1 Year,Low,Medium,High,1,Strategic Thinking,Local,2026-03-26,True
SC00000730,SP000001,W00004250,Ready 3+ Years,Low,Medium,High,4,Executive Presence,Regional,2026-01-30,True
SC00000731,SP000001,W00004844,Ready < 1 Year,Medium,High,Solid,3,Financial Acumen,Local,2026-01-30,True
SC00000732,SP000006,W00002530,Ready 1-2 Years,High,High,High,1,Global Mobility,Local,2025-12-27,True
SC00000733,SP000006,W00003878,Ready 1-2 Years,Low,High,Solid,4,Global Mobility,Local,2026-01-13,True
SC00000734,SP000003,W00004975,Ready 3+ Years,Medium,Medium,High,3,People Leadership,Regional,2026-02-27,True
SC00000735,SP000002,W00004964,Ready < 1 Year,Medium,High,High,1,Financial Acumen,Regional,2025-10-12,True
SC00000736,SP000001,W00000543,Ready 3+ Years,Low,High,Low,4,Executive Presence,Global,2026-03-06,True
SC00000737,SP000002,W00002493,Ready Now,Medium,High,High,3,Executive Presence,Local,2026-03-30,True
SC00000738,SP000009,W00002493,Ready Now,Medium,High,High,1,Financial Acumen,Remote-first,2026-02-13,True
SC00000739,SP000005,W00004159,Ready 1-2 Years,Medium,Medium,High,5,Financial Acumen,Global,2026-03-09,True
SC00000740,SP000004,W00001891,Ready < 1 Year,Medium,High,High,3,Global Mobility,Local,2025-12-16,True
SC00000741,SP000009,W00001891,Ready < 1 Year,Medium,High,High,2,Strategic Thinking,Local,2025-10-23,True
SC00000742,SP000002,W00002067,Ready 1-2 Years,Medium,High,Solid,5,Strategic Thinking,Local,2025-11-21,True
SC00000743,SP000001,W00000031,Ready 3+ Years,Medium,Medium,High,3,GenAI Fluency,Remote-first,2026-02-19,True
SC00000744,SP000004,W00003650,Ready < 1 Year,Medium,High,High,3,Financial Acumen,Local,2025-10-18,True
SC00000745,SP000002,W00001687,Ready Now,Low,High,Solid,3,Executive Presence,Local,2026-03-04,True
SC00000746,SP000006,W00003139,Ready 1-2 Years,Medium,High,High,4,Financial Acumen,Global,2025-10-20,True
SC00000747,SP000007,W00003139,Ready 1-2 Years,Medium,High,High,5,Global Mobility,Local,2025-12-13,True
SC00000748,SP000002,W00002964,Ready < 1 Year,Medium,Exceptional,High,3,Strategic Thinking,Local,2025-12-28,True
SC00000749,SP000002,W00002862,Ready < 1 Year,Medium,High,Solid,1,Executive Presence,Local,2025-10-06,True
SC00000750,SP000007,W00002862,Ready < 1 Year,Medium,High,Solid,1,Executive Presence,Regional,2026-01-04,True
SC00000751,SP000006,W00003022,Ready < 1 Year,Low,Medium,Solid,1,Strategic Thinking,Local,2025-10-22,True
SC00000752,SP000008,W00003022,Ready < 1 Year,Low,Medium,Solid,3,Global Mobility,Global,2025-10-18,True
SC00000753,SP000005,W00001496,Ready Now,High,High,High,3,Executive Presence,Local,2026-02-10,True
SC00000754,SP000002,W00001636,Ready Now,High,High,Solid,1,Strategic Thinking,Local,2026-03-26,True
SC00000755,SP000004,W00001180,Ready Now,Low,Medium,Solid,1,People Leadership,Regional,2025-10-26,True
SC00000756,SP000006,W00003097,Ready < 1 Year,Medium,High,High,1,GenAI Fluency,Remote-first,2025-12-18,True
SC00000757,SP000002,W00004756,Ready 1-2 Years,Medium,High,Solid,5,Financial Acumen,Local,2026-01-02,True
SC00000758,SP000009,W00004756,Ready 1-2 Years,Medium,High,Solid,2,Strategic Thinking,Regional,2026-03-23,True
SC00000759,SP000006,W00004558,Ready < 1 Year,Low,Medium,High,4,Financial Acumen,Local,2026-03-07,True
SC00000760,SP000002,W00002846,Ready 1-2 Years,Medium,High,Solid,1,Strategic Thinking,Local,2025-12-02,True
SC00000761,SP000004,W00000416,Ready 1-2 Years,Medium,High,Solid,2,Global Mobility,Local,2026-01-06,True
SC00000762,SP000001,W00001148,Ready 1-2 Years,Medium,Medium,Exceptional,2,Strategic Thinking,Local,2025-11-17,True
SC00000763,SP000004,W00002609,Ready < 1 Year,High,Exceptional,High,2,Global Mobility,Regional,2025-11-03,True
SC00000764,SP000001,W00003378,Ready 3+ Years,Medium,Low,Exceptional,3,Financial Acumen,Regional,2026-02-03,True
SC00000765,SP000007,W00003378,Ready 3+ Years,Medium,Low,Exceptional,4,GenAI Fluency,Remote-first,2025-11-29,True
SC00000766,SP000001,W00000583,Ready 1-2 Years,Low,Medium,High,4,Strategic Thinking,Local,2025-12-05,True
SC00000767,SP000002,W00003594,Ready 1-2 Years,Low,Medium,Exceptional,3,Executive Presence,Local,2025-11-25,True
SC00000768,SP000008,W00003594,Ready 1-2 Years,Low,Medium,Exceptional,5,Executive Presence,Local,2026-01-11,True
SC00000769,SP000002,W00002576,Ready 3+ Years,Medium,Low,Exceptional,3,Financial Acumen,Regional,2026-01-18,True
SC00000770,SP000001,W00001554,Ready Now,Medium,High,Exceptional,2,People Leadership,Local,2025-12-17,True
SC00000771,SP000002,W00001303,Ready < 1 Year,High,High,Exceptional,3,Financial Acumen,Local,2026-02-06,True
SC00000772,SP000001,W00000655,Ready 1-2 Years,Medium,High,Exceptional,2,Global Mobility,Global,2026-01-05,True
SC00000773,SP000002,W00001670,Ready Now,High,High,High,4,Executive Presence,Local,2026-02-08,True
SC00000774,SP000001,W00004103,Ready 1-2 Years,Medium,Medium,High,4,Strategic Thinking,Local,2025-10-25,True
SC00000775,SP000002,W00001892,Ready 1-2 Years,Medium,High,Solid,3,GenAI Fluency,Local,2026-03-28,True
SC00000776,SP000008,W00001892,Ready 1-2 Years,Medium,High,Solid,3,Executive Presence,Regional,2026-01-01,True
SC00000777,SP000001,W00001689,Ready 1-2 Years,Medium,Medium,High,3,Global Mobility,Local,2026-02-01,True
SC00000778,SP000005,W00002698,Ready 3+ Years,Low,Medium,High,3,Executive Presence,Global,2025-12-02,True
SC00000779,SP000007,W00002698,Ready 3+ Years,Low,Medium,High,2,Global Mobility,Local,2025-11-15,True
SC00000780,SP000002,W00001971,Ready 3+ Years,Low,Medium,High,3,Financial Acumen,Regional,2025-12-19,True
SC00000781,SP000001,W00004526,Ready Now,Medium,Exceptional,Solid,2,Financial Acumen,Local,2026-01-01,True
SC00000782,SP000002,W00002441,Ready < 1 Year,Medium,High,High,3,People Leadership,Remote-first,2025-12-18,True
SC00000783,SP000006,W00001302,Ready 3+ Years,Medium,Medium,Exceptional,3,People Leadership,Local,2025-12-04,True
