performance_review_id,worker_id,review_year,review_cycle,review_type,overall_rating,overall_rating_label,potential_rating,promotion_readiness,gen_ai_readiness,manager_rating,self_rating,calibration_adjustment,review_status,review_completion_date
PR00003706,W00001020,2022,2022 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 3+ Years,Low,2,2,None,Completed,2023-02-10
PR00003707,W00001020,2023,2023 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,High,2,2,None,Completed,2024-03-01
PR00003708,W00001020,2024,2024 Annual Review,Annual,3,Meets Expectations,Low,Ready in 2 Years,High,3,3,None,Completed,2025-03-21
PR00003709,W00001020,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Expert,3,4,None,Completed,2026-02-24
PR00003710,W00001021,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Low,3,4,None,Completed,2022-03-10
PR00003711,W00001021,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,3,None,Completed,2023-03-25
PR00003712,W00001021,2023,2023 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 2 Years,Expert,4,5,None,Canceled,
PR00003713,W00001021,2024,2024 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 1 Year,Expert,3,4,None,Completed,2025-02-04
PR00003714,W00001021,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Expert,3,3,None,Not Started,
PR00003715,W00001022,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Low,3,3,None,Completed,2022-03-01
PR00003716,W00001022,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 2 Years,Low,4,4,None,Completed,2023-02-24
PR00003717,W00001022,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,Low,3,3,None,Completed,2024-02-06
PR00003718,W00001022,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,High,2,4,Upward,Completed,2025-02-08
PR00003719,W00001022,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,High,1,2,Upward,Completed,2026-02-06
PR00003720,W00001023,2021,2021 Annual Review,Annual,3,Meets Expectations,Low,Ready in 2 Years,Medium,4,3,Downward,Completed,2022-02-25
PR00003721,W00001023,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Low,3,3,None,Completed,2023-01-14
PR00003722,W00001023,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Medium,3,3,None,Completed,2024-01-20
PR00003723,W00001023,2024,2024 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,Medium,2,4,Upward,Completed,2025-02-14
PR00003724,W00001023,2025,2025 Annual Review,Annual,5,Outstanding,Moderate,Ready in 1 Year,Medium,5,5,None,Completed,2026-03-16
PR00003725,W00001024,2021,2021 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Low,3,4,Upward,Completed,2022-02-04
PR00003726,W00001024,2022,2022 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,Medium,5,5,None,Completed,2023-03-26
PR00003727,W00001024,2023,2023 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,High,2,2,None,Completed,2024-01-19
PR00003728,W00001024,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,Low,2,2,None,Completed,2025-03-12
PR00003729,W00001024,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Expert,3,4,Upward,Completed,2026-01-25
PR00003730,W00001026,2024,2024 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Low,4,4,None,Completed,2025-04-20
PR00003731,W00001026,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 2 Years,Low,2,3,None,Completed,2026-02-11
PR00003732,W00001027,2024,2024 Annual Review,Annual,3,Meets Expectations,Low,Ready in 2 Years,Low,3,4,None,Completed,2025-03-06
PR00003733,W00001027,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Low,3,4,None,Completed,2026-02-07
PR00003734,W00001028,2025,2025 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Expert,4,5,None,Completed,2026-02-11
PR00003735,W00001029,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 3+ Years,High,3,4,Upward,Completed,2025-02-27
PR00003736,W00001029,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,High,3,4,None,Completed,2026-04-22
PR00003737,W00001030,2021,2021 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,Low,2,4,Upward,Completed,2022-03-09
PR00003738,W00001030,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 1 Year,Low,4,4,None,Completed,2023-01-15
PR00003739,W00001030,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Completed,2024-03-07
PR00003740,W00001030,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Completed,2025-02-04
PR00003741,W00001030,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Low,3,4,None,Completed,2026-02-28
PR00003742,W00001031,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Expert,4,4,None,Completed,2026-02-26
PR00003743,W00001032,2021,2021 Annual Review,Annual,5,Outstanding,High,Ready in 2 Years,Low,5,5,None,Completed,2022-02-26
PR00003744,W00001032,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Low,3,4,None,Completed,2023-01-21
PR00003745,W00001032,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Medium,3,4,None,Completed,2024-01-23
PR00003746,W00001032,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,Low,3,4,None,Completed,2025-02-22
PR00003747,W00001032,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 3+ Years,High,2,1,None,Completed,2026-03-03
PR00003748,W00001033,2021,2021 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,High,3,3,None,Completed,2022-01-19
PR00003749,W00001033,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Expert,3,4,None,Completed,2023-02-09
PR00003750,W00001033,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,Low,3,3,None,Completed,2024-01-10
PR00003751,W00001033,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 3+ Years,High,4,4,None,Completed,2025-02-12
PR00003752,W00001033,2025,2025 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Medium,3,4,Upward,Completed,2026-02-21
PR00003753,W00001034,2021,2021 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 2 Years,Medium,2,3,None,Completed,2022-03-06
PR00003754,W00001034,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Expert,2,3,Upward,Not Started,
PR00003755,W00001034,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Medium,3,2,None,Completed,2024-03-11
PR00003756,W00001034,2024,2024 Annual Review,Annual,1,Needs Improvement,High,Ready in 3+ Years,Expert,1,1,None,In Progress,
PR00003757,W00001034,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,High,3,3,None,Completed,2026-02-19
PR00003758,W00001035,2024,2024 Annual Review,Annual,3,Meets Expectations,Low,Ready in 3+ Years,Low,3,3,None,Completed,2025-02-09
PR00003759,W00001035,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 3+ Years,High,4,3,None,Completed,2026-03-10
PR00003760,W00001036,2021,2021 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Medium,3,3,None,Completed,2022-04-23
PR00003761,W00001036,2022,2022 Annual Review,Annual,5,Outstanding,Moderate,Ready in 3+ Years,High,5,5,None,Completed,2023-03-11
PR00003762,W00001036,2023,2023 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,High,2,1,None,Completed,2024-03-09
PR00003763,W00001036,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,High,5,3,Downward,Completed,2025-03-09
PR00003764,W00001036,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Low,Ready Now,Expert,4,4,None,Completed,2026-03-20
PR00003765,W00001037,2021,2021 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 2 Years,Expert,2,1,None,Completed,2022-04-16
PR00003766,W00001037,2022,2022 Annual Review,Annual,4,Exceeds Expectations,High,Ready Now,Expert,4,5,None,Completed,2023-01-25
PR00003767,W00001037,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,High,3,4,None,Completed,2024-04-28
PR00003768,W00001037,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,High,2,2,None,Completed,2025-02-28
PR00003769,W00001037,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,5,None,Canceled,
PR00003770,W00001038,2021,2021 Annual Review,Annual,5,Outstanding,Low,Ready in 2 Years,Medium,4,5,Upward,Completed,2022-01-13
PR00003771,W00001038,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready Now,Expert,5,4,Downward,Completed,2023-02-18
PR00003772,W00001038,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Medium,4,4,None,Completed,2024-03-02
PR00003773,W00001038,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Expert,4,4,None,Completed,2025-03-08
PR00003774,W00001038,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,3,None,Completed,2026-03-09
PR00003775,W00001039,2021,2021 Annual Review,Annual,3,Meets Expectations,Low,Ready in 2 Years,Low,3,3,None,Completed,2022-03-05
PR00003776,W00001039,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Completed,2023-04-05
PR00003777,W00001039,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Low,4,4,None,Completed,2024-02-03
PR00003778,W00001039,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,Medium,2,1,None,Completed,2025-03-04
PR00003779,W00001039,2025,2025 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 1 Year,Medium,3,3,None,Completed,2026-04-02
PR00003780,W00001040,2021,2021 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Expert,4,4,None,Completed,2022-02-11
PR00003781,W00001040,2022,2022 Annual Review,Annual,3,Meets Expectations,Low,Ready in 3+ Years,Medium,3,2,None,Completed,2023-02-25
PR00003782,W00001040,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 1 Year,High,3,5,Upward,Completed,2024-02-11
PR00003783,W00001040,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,3,3,None,Completed,2025-02-05
PR00003784,W00001040,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 2 Years,Medium,4,4,None,Completed,2026-02-25
PR00003785,W00001041,2021,2021 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,High,4,4,None,Completed,2022-03-23
PR00003786,W00001041,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,High,3,3,None,Completed,2023-02-16
PR00003787,W00001041,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,4,None,Completed,2024-03-09
PR00003788,W00001041,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready Now,High,3,2,None,Completed,2025-01-12
PR00003789,W00001041,2025,2025 Annual Review,Annual,5,Outstanding,Moderate,Ready in 1 Year,Medium,5,5,None,Completed,2026-02-15
PR00003790,W00001042,2022,2022 Annual Review,Annual,2,Partially Meets Expectations,High,Ready in 3+ Years,Expert,2,3,None,Completed,2023-02-19
PR00003791,W00001042,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,5,None,Completed,2024-03-27
PR00003792,W00001042,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Expert,4,4,Downward,Completed,2025-02-05
PR00003793,W00001042,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Expert,4,3,Downward,Completed,2026-04-02
PR00003794,W00001043,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Completed,2023-02-18
PR00003795,W00001043,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,High,3,2,None,Completed,2024-03-12
PR00003796,W00001043,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 2 Years,High,2,2,None,Manager Review Pending,
PR00003797,W00001043,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Low,3,4,None,Completed,2026-03-07
PR00003798,W00001044,2021,2021 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 2 Years,High,4,5,None,Completed,2022-01-08
PR00003799,W00001044,2022,2022 Annual Review,Annual,4,Exceeds Expectations,High,Ready Now,Medium,4,4,None,Completed,2023-02-14
PR00003800,W00001044,2023,2023 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 3+ Years,High,2,3,None,Completed,2024-02-27
PR00003801,W00001044,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 1 Year,Medium,4,3,None,Completed,2025-01-28
PR00003802,W00001044,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,Medium,3,3,None,Completed,2026-03-15
PR00003803,W00001045,2021,2021 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 3+ Years,Medium,4,5,None,In Progress,
PR00003804,W00001045,2022,2022 Annual Review,Annual,1,Needs Improvement,Moderate,Ready in 2 Years,High,1,1,None,Completed,2023-02-07
PR00003805,W00001045,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,Low,3,3,None,In Progress,
PR00003806,W00001045,2024,2024 Annual Review,Annual,5,Outstanding,High,Ready Now,High,5,5,None,Completed,2025-01-16
PR00003807,W00001045,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Medium,4,4,None,Completed,2026-02-27
PR00003808,W00001046,2021,2021 Annual Review,Annual,5,Outstanding,High,Ready Now,Medium,5,5,None,Completed,2022-03-12
PR00003809,W00001046,2022,2022 Annual Review,Annual,5,Outstanding,High,Ready Now,High,5,5,None,Completed,2023-02-04
PR00003810,W00001046,2023,2023 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Medium,4,5,None,Completed,2024-03-18
PR00003811,W00001046,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,Medium,3,4,None,Completed,2025-02-26
PR00003812,W00001046,2025,2025 Annual Review,Annual,5,Outstanding,High,Ready Now,High,5,5,None,Completed,2026-02-15
PR00003813,W00001047,2021,2021 Annual Review,Annual,5,Outstanding,High,Ready Now,Expert,5,5,None,In Progress,
PR00003814,W00001047,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Low,3,3,None,In Progress,
PR00003815,W00001047,2023,2023 Annual Review,Annual,5,Outstanding,Exceptional,Ready Now,Expert,5,5,None,Completed,2024-03-15
PR00003816,W00001047,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready Now,Expert,4,4,None,Completed,2025-01-24
PR00003817,W00001047,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 1 Year,Expert,4,4,None,Completed,2026-03-06
PR00003818,W00001048,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready Now,Expert,4,4,None,Completed,2023-01-25
PR00003819,W00001048,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 3+ Years,High,3,4,Upward,Completed,2024-02-22
PR00003820,W00001048,2024,2024 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,Expert,3,3,None,Completed,2025-01-08
PR00003821,W00001048,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,4,None,Completed,2026-02-15
PR00003822,W00001049,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,3,None,Completed,2025-01-06
PR00003823,W00001049,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 3+ Years,Medium,2,2,None,Completed,2026-03-13
PR00003824,W00001050,2021,2021 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,Medium,4,5,Upward,Completed,2022-01-26
PR00003825,W00001050,2022,2022 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,Low,2,2,None,Completed,2023-04-13
PR00003826,W00001050,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready Now,Medium,3,4,None,Manager Review Pending,
PR00003827,W00001050,2024,2024 Annual Review,Annual,5,Outstanding,High,Ready Now,Medium,4,5,Upward,Completed,2025-02-02
PR00003828,W00001050,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Medium,3,4,None,Completed,2026-03-04
PR00003829,W00001051,2021,2021 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,High,5,4,Downward,Completed,2022-04-11
PR00003830,W00001051,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,4,None,Completed,2023-02-05
PR00003831,W00001051,2023,2023 Annual Review,Annual,4,Exceeds Expectations,High,Ready Now,Low,4,4,None,Completed,2024-03-22
PR00003832,W00001051,2024,2024 Annual Review,Annual,3,Meets Expectations,Low,Ready in 1 Year,High,3,4,None,Completed,2025-03-13
PR00003833,W00001051,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,High,3,4,None,Completed,2026-02-07
PR00003834,W00001052,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Medium,3,3,None,In Progress,
PR00003835,W00001052,2022,2022 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 1 Year,Medium,3,2,None,Completed,2023-02-28
PR00003836,W00001052,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,High,3,3,None,Completed,2024-01-25
PR00003837,W00001052,2024,2024 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,High,4,4,None,Completed,2025-02-23
PR00003838,W00001052,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Medium,4,5,None,Completed,2026-02-18
PR00003839,W00001053,2024,2024 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,Low,2,4,Upward,Completed,2025-03-07
PR00003840,W00001053,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Medium,3,3,None,Completed,2026-02-09
PR00003841,W00001054,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Expert,3,3,None,Completed,2023-03-16
PR00003842,W00001054,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,High,4,3,Downward,Completed,2024-02-22
PR00003843,W00001054,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 3+ Years,High,4,4,None,In Progress,
PR00003844,W00001054,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 2 Years,High,4,5,None,Completed,2026-02-06
PR00003845,W00001055,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Expert,3,4,None,Completed,2025-03-27
PR00003846,W00001055,2025,2025 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,Medium,5,5,None,Completed,2026-02-22
PR00003847,W00001056,2021,2021 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,High,4,4,None,Completed,2022-04-12
PR00003848,W00001056,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Expert,3,4,None,Completed,2023-02-11
PR00003849,W00001056,2023,2023 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,High,4,5,None,Completed,2024-01-07
PR00003850,W00001056,2024,2024 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 2 Years,High,4,4,None,Completed,2025-03-02
PR00003851,W00001056,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Expert,5,5,Downward,Completed,2026-02-22
PR00003852,W00001057,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 3+ Years,Expert,4,5,None,Completed,2024-01-10
PR00003853,W00001057,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 1 Year,High,4,4,None,Completed,2025-03-15
PR00003854,W00001057,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,2,2,Upward,Completed,2026-02-02
PR00003855,W00001058,2024,2024 Annual Review,Annual,3,Meets Expectations,Low,Ready in 3+ Years,Expert,3,3,None,Completed,2025-02-11
PR00003856,W00001058,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,High,1,2,Upward,Completed,2026-01-26
PR00003857,W00001059,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,4,None,Completed,2023-03-08
PR00003858,W00001059,2023,2023 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 2 Years,Medium,5,5,Downward,Completed,2024-03-19
PR00003859,W00001059,2024,2024 Annual Review,Annual,5,Outstanding,Moderate,Ready in 1 Year,Medium,5,5,None,Completed,2025-01-20
PR00003860,W00001059,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Expert,2,3,Upward,Completed,2026-03-18
PR00003861,W00001060,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Expert,3,3,None,Completed,2022-01-27
PR00003862,W00001060,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,3,None,Completed,2023-03-01
PR00003863,W00001060,2023,2023 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,Expert,5,5,None,Completed,2024-01-22
PR00003864,W00001060,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 3+ Years,Expert,3,3,Downward,Completed,2025-02-28
PR00003865,W00001060,2025,2025 Annual Review,Annual,3,Meets Expectations,Low,Ready in 2 Years,High,3,4,None,Completed,2026-03-25
PR00003866,W00001061,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Expert,4,4,None,Completed,2025-03-08
PR00003867,W00001061,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,Medium,3,1,Downward,Completed,2026-01-11
PR00003868,W00001062,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 3+ Years,High,3,3,None,Completed,2026-03-15
PR00003869,W00001063,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,High,4,3,Downward,Completed,2023-03-13
PR00003870,W00001063,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,4,None,Completed,2024-01-10
PR00003871,W00001063,2024,2024 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 2 Years,Expert,5,4,Downward,Completed,2025-02-09
PR00003872,W00001063,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,4,None,Completed,2026-01-19
PR00003873,W00001064,2021,2021 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,4,None,Completed,2022-02-19
PR00003874,W00001064,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,Medium,3,3,None,Completed,2023-01-14
PR00003875,W00001064,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Expert,4,4,None,Completed,2024-03-24
PR00003876,W00001064,2024,2024 Annual Review,Annual,5,Outstanding,Moderate,Ready in 2 Years,Medium,5,5,None,Completed,2025-02-25
PR00003877,W00001064,2025,2025 Annual Review,Annual,5,Outstanding,Exceptional,Ready in 1 Year,Expert,5,5,None,Completed,2026-03-22
PR00003878,W00001065,2024,2024 Annual Review,Annual,1,Needs Improvement,Moderate,Ready in 2 Years,Low,1,2,None,Completed,2025-01-07
PR00003879,W00001065,2025,2025 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Expert,5,4,Downward,Completed,2026-01-15
PR00003880,W00001066,2022,2022 Annual Review,Annual,4,Exceeds Expectations,High,Ready Now,Medium,4,4,None,Completed,2023-02-25
PR00003881,W00001066,2023,2023 Annual Review,Annual,2,Partially Meets Expectations,Low,Ready in 3+ Years,High,2,2,None,Not Started,
PR00003882,W00001066,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready Now,High,4,3,Downward,Completed,2025-02-26
PR00003883,W00001066,2025,2025 Annual Review,Annual,5,Outstanding,Exceptional,Ready in 2 Years,Expert,4,5,Upward,Manager Review Pending,
PR00003884,W00001067,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,3,4,None,Completed,2022-02-07
PR00003885,W00001067,2022,2022 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Medium,3,5,Upward,Completed,2023-03-20
PR00003886,W00001067,2023,2023 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,Medium,5,4,None,Canceled,
PR00003887,W00001067,2024,2024 Annual Review,Annual,5,Outstanding,Moderate,Ready in 3+ Years,Medium,5,5,None,Completed,2025-03-06
PR00003888,W00001067,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Medium,4,5,None,Completed,2026-03-24
PR00003889,W00001068,2022,2022 Annual Review,Annual,2,Partially Meets Expectations,High,Ready in 2 Years,Medium,1,2,Upward,Not Started,
PR00003890,W00001068,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,3,3,None,Completed,2024-01-10
PR00003891,W00001068,2024,2024 Annual Review,Annual,2,Partially Meets Expectations,High,Ready in 3+ Years,Medium,2,2,None,Canceled,
PR00003892,W00001068,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Completed,2026-03-26
PR00003893,W00001069,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Completed,2024-04-02
PR00003894,W00001069,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 3+ Years,Medium,4,4,None,Completed,2025-03-22
PR00003895,W00001069,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Completed,2026-02-08
PR00003896,W00001070,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,3,None,Completed,2024-03-15
PR00003897,W00001070,2024,2024 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 2 Years,High,3,3,None,Completed,2025-02-03
PR00003898,W00001070,2025,2025 Annual Review,Annual,5,Outstanding,High,Ready in 1 Year,Medium,4,5,Upward,Completed,2026-01-20
