compensation_grade_id,global_grade,career_level,job_family,market_reference_zone,salary_band_min,salary_band_mid,salary_band_max,bonus_target,currency,country,geo_differential,gen_ai_impact_level,gen_ai_skill_premium,gen_ai_role_category
CG000341,G08,Partner,Mergers and Acquisitions,North America Standard,255000,635000,1015000,0.4,CAD,Canada,0.82,Low,0.03,AI User
CG000342,G09,Executive,Mergers and Acquisitions,North America Standard,405000,1015000,1620000,0.5,CAD,Canada,0.82,Low,0.03,AI User
CG000343,G01,Intern,Finance,North America Standard,19000,25000,32000,0.0,CAD,Canada,0.82,Low,0.03,AI User
CG000344,G02,Analyst,Finance,North America Standard,41000,55000,69000,0.03,CAD,Canada,0.82,Low,0.03,AI User
CG000345,G03,Consultant,Finance,North America Standard,53000,76000,99000,0.05,CAD,Canada,0.82,Low,0.03,AI User
CG000346,G04,Senior Consultant,Finance,North America Standard,71000,100000,130000,0.08,CAD,Canada,0.82,Low,0.03,AI User
CG000347,G05,Manager,Finance,North America Standard,91000,140000,190000,0.12,CAD,Canada,0.82,Low,0.03,AI User
CG000348,G06,Senior Manager,Finance,North America Standard,125000,195000,260000,0.18,CAD,Canada,0.82,Low,0.03,AI User
CG000349,G07,Director,Finance,North America Standard,160000,285000,415000,0.25,CAD,Canada,0.82,Low,0.03,AI User
CG000350,G08,Partner,Finance,North America Standard,255000,635000,1015000,0.4,CAD,Canada,0.82,Low,0.03,AI User
CG000351,G09,Executive,Finance,North America Standard,405000,1015000,1620000,0.5,CAD,Canada,0.82,Low,0.03,AI User
CG000352,G01,Intern,Human Resources,North America Standard,18000,25000,31000,0.0,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000353,G02,Analyst,Human Resources,North America Standard,40000,53000,66000,0.03,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000354,G03,Consultant,Human Resources,North America Standard,52000,74000,96000,0.05,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000355,G04,Senior Consultant,Human Resources,North America Standard,69000,98000,130000,0.08,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000356,G05,Manager,Human Resources,North America Standard,88000,135000,180000,0.12,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000357,G06,Senior Manager,Human Resources,North America Standard,120000,190000,255000,0.18,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000358,G07,Director,Human Resources,North America Standard,155000,280000,405000,0.25,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000359,G08,Partner,Human Resources,North America Standard,245000,615000,980000,0.4,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000360,G09,Executive,Human Resources,North America Standard,395000,980000,1570000,0.5,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000361,G01,Intern,Information Technology,North America Standard,20000,27000,33000,0.0,CAD,Canada,0.82,High,0.08,AI Builder
CG000362,G02,Analyst,Information Technology,North America Standard,43000,58000,72000,0.03,CAD,Canada,0.82,High,0.08,AI Builder
CG000363,G03,Consultant,Information Technology,North America Standard,56000,80000,105000,0.05,CAD,Canada,0.82,High,0.08,AI Builder
CG000364,G04,Senior Consultant,Information Technology,North America Standard,74000,105000,140000,0.08,CAD,Canada,0.82,High,0.08,AI Builder
CG000365,G05,Manager,Information Technology,North America Standard,95000,145000,195000,0.12,CAD,Canada,0.82,High,0.08,AI Builder
CG000366,G06,Senior Manager,Information Technology,North America Standard,130000,205000,275000,0.18,CAD,Canada,0.82,High,0.08,AI Builder
CG000367,G07,Director,Information Technology,North America Standard,165000,300000,435000,0.25,CAD,Canada,0.82,High,0.08,AI Builder
CG000368,G08,Partner,Information Technology,North America Standard,265000,665000,1065000,0.4,CAD,Canada,0.82,High,0.08,AI Builder
CG000369,G09,Executive,Information Technology,North America Standard,425000,1065000,1700000,0.5,CAD,Canada,0.82,High,0.08,AI Builder
CG000370,G01,Intern,Legal,North America Standard,18000,25000,31000,0.0,CAD,Canada,0.82,Medium,0.05,AI Governance
CG000371,G02,Analyst,Legal,North America Standard,40000,53000,66000,0.03,CAD,Canada,0.82,Medium,0.05,AI Governance
CG000372,G03,Consultant,Legal,North America Standard,52000,74000,96000,0.05,CAD,Canada,0.82,Medium,0.05,AI Governance
CG000373,G04,Senior Consultant,Legal,North America Standard,69000,98000,130000,0.08,CAD,Canada,0.82,Medium,0.05,AI Governance
CG000374,G05,Manager,Legal,North America Standard,88000,135000,180000,0.12,CAD,Canada,0.82,Medium,0.05,AI Governance
CG000375,G06,Senior Manager,Legal,North America Standard,120000,190000,255000,0.18,CAD,Canada,0.82,Medium,0.05,AI Governance
CG000376,G07,Director,Legal,North America Standard,155000,280000,405000,0.25,CAD,Canada,0.82,Medium,0.05,AI Governance
CG000377,G08,Partner,Legal,North America Standard,245000,615000,980000,0.4,CAD,Canada,0.82,Medium,0.05,AI Governance
CG000378,G09,Executive,Legal,North America Standard,395000,980000,1570000,0.5,CAD,Canada,0.82,Medium,0.05,AI Governance
CG000379,G01,Intern,Marketing,North America Standard,18000,25000,31000,0.0,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000380,G02,Analyst,Marketing,North America Standard,40000,53000,66000,0.03,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000381,G03,Consultant,Marketing,North America Standard,52000,74000,96000,0.05,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000382,G04,Senior Consultant,Marketing,North America Standard,69000,98000,130000,0.08,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000383,G05,Manager,Marketing,North America Standard,88000,135000,180000,0.12,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000384,G06,Senior Manager,Marketing,North America Standard,120000,190000,255000,0.18,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000385,G07,Director,Marketing,North America Standard,155000,280000,405000,0.25,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000386,G08,Partner,Marketing,North America Standard,245000,615000,980000,0.4,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000387,G09,Executive,Marketing,North America Standard,395000,980000,1570000,0.5,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000388,G01,Intern,Data and Analytics,North America Standard,22000,30000,37000,0.0,CAD,Canada,0.82,Critical,0.12,AI Builder
CG000389,G02,Analyst,Data and Analytics,North America Standard,48000,64000,81000,0.03,CAD,Canada,0.82,Critical,0.12,AI Builder
CG000390,G03,Consultant,Data and Analytics,North America Standard,62000,89000,115000,0.05,CAD,Canada,0.82,Critical,0.12,AI Builder
CG000391,G04,Senior Consultant,Data and Analytics,North America Standard,83000,120000,155000,0.08,CAD,Canada,0.82,Critical,0.12,AI Builder
CG000392,G05,Manager,Data and Analytics,North America Standard,105000,165000,220000,0.12,CAD,Canada,0.82,Critical,0.12,AI Builder
CG000393,G06,Senior Manager,Data and Analytics,North America Standard,150000,230000,310000,0.18,CAD,Canada,0.82,Critical,0.12,AI Builder
CG000394,G07,Director,Data and Analytics,North America Standard,185000,335000,490000,0.25,CAD,Canada,0.82,Critical,0.12,AI Builder
CG000395,G08,Partner,Data and Analytics,North America Standard,300000,745000,1190000,0.4,CAD,Canada,0.82,Critical,0.12,AI Builder
CG000396,G09,Executive,Data and Analytics,North America Standard,475000,1190000,1905000,0.5,CAD,Canada,0.82,Critical,0.12,AI Builder
CG000397,G01,Intern,Operations,North America Standard,19000,26000,32000,0.0,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000398,G02,Analyst,Operations,North America Standard,42000,56000,70000,0.03,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000399,G03,Consultant,Operations,North America Standard,54000,77000,100000,0.05,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000400,G04,Senior Consultant,Operations,North America Standard,72000,105000,135000,0.08,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000401,G05,Manager,Operations,North America Standard,92000,140000,190000,0.12,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000402,G06,Senior Manager,Operations,North America Standard,130000,200000,265000,0.18,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000403,G07,Director,Operations,North America Standard,160000,295000,425000,0.25,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000404,G08,Partner,Operations,North America Standard,260000,645000,1035000,0.4,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000405,G09,Executive,Operations,North America Standard,415000,1035000,1655000,0.5,CAD,Canada,0.82,Medium,0.05,AI-Augmented Professional
CG000406,G01,Intern,Audit Assurance,Europe Premium,20000,26000,33000,0.0,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000407,G02,Analyst,Audit Assurance,Europe Premium,43000,57000,72000,0.03,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000408,G03,Consultant,Audit Assurance,Europe Premium,56000,79000,105000,0.05,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000409,G04,Senior Consultant,Audit Assurance,Europe Premium,74000,105000,140000,0.08,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000410,G05,Manager,Audit Assurance,Europe Premium,95000,145000,195000,0.12,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000411,G06,Senior Manager,Audit Assurance,Europe Premium,130000,205000,275000,0.18,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000412,G07,Director,Audit Assurance,Europe Premium,165000,300000,435000,0.25,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000413,G08,Partner,Audit Assurance,Europe Premium,265000,660000,1060000,0.4,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000414,G09,Executive,Audit Assurance,Europe Premium,425000,1060000,1695000,0.5,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000415,G01,Intern,Corporate Tax,Europe Premium,20000,26000,33000,0.0,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000416,G02,Analyst,Corporate Tax,Europe Premium,43000,57000,72000,0.03,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000417,G03,Consultant,Corporate Tax,Europe Premium,56000,79000,105000,0.05,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000418,G04,Senior Consultant,Corporate Tax,Europe Premium,74000,105000,140000,0.08,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000419,G05,Manager,Corporate Tax,Europe Premium,95000,145000,195000,0.12,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000420,G06,Senior Manager,Corporate Tax,Europe Premium,130000,205000,275000,0.18,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000421,G07,Director,Corporate Tax,Europe Premium,165000,300000,435000,0.25,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000422,G08,Partner,Corporate Tax,Europe Premium,265000,660000,1060000,0.4,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000423,G09,Executive,Corporate Tax,Europe Premium,425000,1060000,1695000,0.5,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000424,G01,Intern,Technology Consulting,Europe Premium,22000,29000,37000,0.0,EUR,Germany,0.84,High,0.08,AI Product / Transformation
CG000425,G02,Analyst,Technology Consulting,Europe Premium,48000,64000,80000,0.03,EUR,Germany,0.84,High,0.08,AI Product / Transformation
CG000426,G03,Consultant,Technology Consulting,Europe Premium,62000,88000,115000,0.05,EUR,Germany,0.84,High,0.08,AI Product / Transformation
CG000427,G04,Senior Consultant,Technology Consulting,Europe Premium,82000,120000,155000,0.08,EUR,Germany,0.84,High,0.08,AI Product / Transformation
CG000428,G05,Manager,Technology Consulting,Europe Premium,105000,160000,220000,0.12,EUR,Germany,0.84,High,0.08,AI Product / Transformation
CG000429,G06,Senior Manager,Technology Consulting,Europe Premium,145000,225000,305000,0.18,EUR,Germany,0.84,High,0.08,AI Product / Transformation
CG000430,G07,Director,Technology Consulting,Europe Premium,185000,335000,485000,0.25,EUR,Germany,0.84,High,0.08,AI Product / Transformation
CG000431,G08,Partner,Technology Consulting,Europe Premium,295000,735000,1175000,0.4,EUR,Germany,0.84,High,0.08,AI Product / Transformation
CG000432,G09,Executive,Technology Consulting,Europe Premium,470000,1175000,1880000,0.5,EUR,Germany,0.84,High,0.08,AI Product / Transformation
CG000433,G01,Intern,Strategy Consulting,Europe Premium,20000,26000,33000,0.0,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000434,G02,Analyst,Strategy Consulting,Europe Premium,43000,57000,72000,0.03,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000435,G03,Consultant,Strategy Consulting,Europe Premium,56000,79000,105000,0.05,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000436,G04,Senior Consultant,Strategy Consulting,Europe Premium,74000,105000,140000,0.08,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000437,G05,Manager,Strategy Consulting,Europe Premium,95000,145000,195000,0.12,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000438,G06,Senior Manager,Strategy Consulting,Europe Premium,130000,205000,275000,0.18,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000439,G07,Director,Strategy Consulting,Europe Premium,165000,300000,435000,0.25,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000440,G08,Partner,Strategy Consulting,Europe Premium,265000,660000,1060000,0.4,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000441,G09,Executive,Strategy Consulting,Europe Premium,425000,1060000,1695000,0.5,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000442,G01,Intern,Human Capital,Europe Premium,20000,26000,33000,0.0,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000443,G02,Analyst,Human Capital,Europe Premium,43000,57000,72000,0.03,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000444,G03,Consultant,Human Capital,Europe Premium,56000,79000,105000,0.05,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000445,G04,Senior Consultant,Human Capital,Europe Premium,74000,105000,140000,0.08,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000446,G05,Manager,Human Capital,Europe Premium,95000,145000,195000,0.12,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000447,G06,Senior Manager,Human Capital,Europe Premium,130000,205000,275000,0.18,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000448,G07,Director,Human Capital,Europe Premium,165000,300000,435000,0.25,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000449,G08,Partner,Human Capital,Europe Premium,265000,660000,1060000,0.4,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000450,G09,Executive,Human Capital,Europe Premium,425000,1060000,1695000,0.5,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000451,G01,Intern,Cyber Risk,Europe Premium,22000,29000,37000,0.0,EUR,Germany,0.84,High,0.08,AI Risk / Compliance
CG000452,G02,Analyst,Cyber Risk,Europe Premium,48000,64000,80000,0.03,EUR,Germany,0.84,High,0.08,AI Risk / Compliance
CG000453,G03,Consultant,Cyber Risk,Europe Premium,62000,88000,115000,0.05,EUR,Germany,0.84,High,0.08,AI Risk / Compliance
CG000454,G04,Senior Consultant,Cyber Risk,Europe Premium,82000,120000,155000,0.08,EUR,Germany,0.84,High,0.08,AI Risk / Compliance
CG000455,G05,Manager,Cyber Risk,Europe Premium,105000,160000,220000,0.12,EUR,Germany,0.84,High,0.08,AI Risk / Compliance
CG000456,G06,Senior Manager,Cyber Risk,Europe Premium,145000,225000,305000,0.18,EUR,Germany,0.84,High,0.08,AI Risk / Compliance
CG000457,G07,Director,Cyber Risk,Europe Premium,185000,335000,485000,0.25,EUR,Germany,0.84,High,0.08,AI Risk / Compliance
CG000458,G08,Partner,Cyber Risk,Europe Premium,295000,735000,1175000,0.4,EUR,Germany,0.84,High,0.08,AI Risk / Compliance
CG000459,G09,Executive,Cyber Risk,Europe Premium,470000,1175000,1880000,0.5,EUR,Germany,0.84,High,0.08,AI Risk / Compliance
CG000460,G01,Intern,Regulatory Risk,Europe Premium,20000,27000,34000,0.0,EUR,Germany,0.84,High,0.08,AI Governance
CG000461,G02,Analyst,Regulatory Risk,Europe Premium,44000,59000,74000,0.03,EUR,Germany,0.84,High,0.08,AI Governance
CG000462,G03,Consultant,Regulatory Risk,Europe Premium,57000,82000,105000,0.05,EUR,Germany,0.84,High,0.08,AI Governance
CG000463,G04,Senior Consultant,Regulatory Risk,Europe Premium,76000,110000,140000,0.08,EUR,Germany,0.84,High,0.08,AI Governance
CG000464,G05,Manager,Regulatory Risk,Europe Premium,97000,150000,200000,0.12,EUR,Germany,0.84,High,0.08,AI Governance
CG000465,G06,Senior Manager,Regulatory Risk,Europe Premium,135000,210000,280000,0.18,EUR,Germany,0.84,High,0.08,AI Governance
CG000466,G07,Director,Regulatory Risk,Europe Premium,170000,310000,445000,0.25,EUR,Germany,0.84,High,0.08,AI Governance
CG000467,G08,Partner,Regulatory Risk,Europe Premium,270000,680000,1090000,0.4,EUR,Germany,0.84,High,0.08,AI Governance
CG000468,G09,Executive,Regulatory Risk,Europe Premium,435000,1090000,1740000,0.5,EUR,Germany,0.84,High,0.08,AI Governance
CG000469,G01,Intern,Mergers and Acquisitions,Europe Premium,19000,26000,32000,0.0,EUR,Germany,0.84,Low,0.03,AI User
CG000470,G02,Analyst,Mergers and Acquisitions,Europe Premium,42000,56000,70000,0.03,EUR,Germany,0.84,Low,0.03,AI User
CG000471,G03,Consultant,Mergers and Acquisitions,Europe Premium,55000,78000,100000,0.05,EUR,Germany,0.84,Low,0.03,AI User
CG000472,G04,Senior Consultant,Mergers and Acquisitions,Europe Premium,73000,105000,135000,0.08,EUR,Germany,0.84,Low,0.03,AI User
CG000473,G05,Manager,Mergers and Acquisitions,Europe Premium,93000,145000,195000,0.12,EUR,Germany,0.84,Low,0.03,AI User
CG000474,G06,Senior Manager,Mergers and Acquisitions,Europe Premium,130000,200000,270000,0.18,EUR,Germany,0.84,Low,0.03,AI User
CG000475,G07,Director,Mergers and Acquisitions,Europe Premium,160000,295000,425000,0.25,EUR,Germany,0.84,Low,0.03,AI User
CG000476,G08,Partner,Mergers and Acquisitions,Europe Premium,260000,650000,1040000,0.4,EUR,Germany,0.84,Low,0.03,AI User
CG000477,G09,Executive,Mergers and Acquisitions,Europe Premium,415000,1040000,1660000,0.5,EUR,Germany,0.84,Low,0.03,AI User
CG000478,G01,Intern,Finance,Europe Premium,19000,26000,32000,0.0,EUR,Germany,0.84,Low,0.03,AI User
CG000479,G02,Analyst,Finance,Europe Premium,42000,56000,70000,0.03,EUR,Germany,0.84,Low,0.03,AI User
CG000480,G03,Consultant,Finance,Europe Premium,55000,78000,100000,0.05,EUR,Germany,0.84,Low,0.03,AI User
CG000481,G04,Senior Consultant,Finance,Europe Premium,73000,105000,135000,0.08,EUR,Germany,0.84,Low,0.03,AI User
CG000482,G05,Manager,Finance,Europe Premium,93000,145000,195000,0.12,EUR,Germany,0.84,Low,0.03,AI User
CG000483,G06,Senior Manager,Finance,Europe Premium,130000,200000,270000,0.18,EUR,Germany,0.84,Low,0.03,AI User
CG000484,G07,Director,Finance,Europe Premium,160000,295000,425000,0.25,EUR,Germany,0.84,Low,0.03,AI User
CG000485,G08,Partner,Finance,Europe Premium,260000,650000,1040000,0.4,EUR,Germany,0.84,Low,0.03,AI User
CG000486,G09,Executive,Finance,Europe Premium,415000,1040000,1660000,0.5,EUR,Germany,0.84,Low,0.03,AI User
CG000487,G01,Intern,Human Resources,Europe Premium,19000,25000,31000,0.0,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000488,G02,Analyst,Human Resources,Europe Premium,41000,54000,68000,0.03,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000489,G03,Consultant,Human Resources,Europe Premium,53000,75000,98000,0.05,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000490,G04,Senior Consultant,Human Resources,Europe Premium,70000,100000,130000,0.08,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000491,G05,Manager,Human Resources,Europe Premium,90000,140000,185000,0.12,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000492,G06,Senior Manager,Human Resources,Europe Premium,125000,195000,260000,0.18,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000493,G07,Director,Human Resources,Europe Premium,155000,285000,415000,0.25,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000494,G08,Partner,Human Resources,Europe Premium,250000,630000,1005000,0.4,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000495,G09,Executive,Human Resources,Europe Premium,400000,1005000,1610000,0.5,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000496,G01,Intern,Information Technology,Europe Premium,20000,27000,34000,0.0,EUR,Germany,0.84,High,0.08,AI Builder
CG000497,G02,Analyst,Information Technology,Europe Premium,44000,59000,74000,0.03,EUR,Germany,0.84,High,0.08,AI Builder
CG000498,G03,Consultant,Information Technology,Europe Premium,57000,82000,105000,0.05,EUR,Germany,0.84,High,0.08,AI Builder
CG000499,G04,Senior Consultant,Information Technology,Europe Premium,76000,110000,140000,0.08,EUR,Germany,0.84,High,0.08,AI Builder
CG000500,G05,Manager,Information Technology,Europe Premium,97000,150000,200000,0.12,EUR,Germany,0.84,High,0.08,AI Builder
CG000501,G06,Senior Manager,Information Technology,Europe Premium,135000,210000,280000,0.18,EUR,Germany,0.84,High,0.08,AI Builder
CG000502,G07,Director,Information Technology,Europe Premium,170000,310000,445000,0.25,EUR,Germany,0.84,High,0.08,AI Builder
CG000503,G08,Partner,Information Technology,Europe Premium,270000,680000,1090000,0.4,EUR,Germany,0.84,High,0.08,AI Builder
CG000504,G09,Executive,Information Technology,Europe Premium,435000,1090000,1740000,0.5,EUR,Germany,0.84,High,0.08,AI Builder
CG000505,G01,Intern,Legal,Europe Premium,19000,25000,31000,0.0,EUR,Germany,0.84,Medium,0.05,AI Governance
CG000506,G02,Analyst,Legal,Europe Premium,41000,54000,68000,0.03,EUR,Germany,0.84,Medium,0.05,AI Governance
CG000507,G03,Consultant,Legal,Europe Premium,53000,75000,98000,0.05,EUR,Germany,0.84,Medium,0.05,AI Governance
CG000508,G04,Senior Consultant,Legal,Europe Premium,70000,100000,130000,0.08,EUR,Germany,0.84,Medium,0.05,AI Governance
CG000509,G05,Manager,Legal,Europe Premium,90000,140000,185000,0.12,EUR,Germany,0.84,Medium,0.05,AI Governance
CG000510,G06,Senior Manager,Legal,Europe Premium,125000,195000,260000,0.18,EUR,Germany,0.84,Medium,0.05,AI Governance
CG000511,G07,Director,Legal,Europe Premium,155000,285000,415000,0.25,EUR,Germany,0.84,Medium,0.05,AI Governance
CG000512,G08,Partner,Legal,Europe Premium,250000,630000,1005000,0.4,EUR,Germany,0.84,Medium,0.05,AI Governance
CG000513,G09,Executive,Legal,Europe Premium,400000,1005000,1610000,0.5,EUR,Germany,0.84,Medium,0.05,AI Governance
CG000514,G01,Intern,Marketing,Europe Premium,19000,25000,31000,0.0,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000515,G02,Analyst,Marketing,Europe Premium,41000,54000,68000,0.03,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000516,G03,Consultant,Marketing,Europe Premium,53000,75000,98000,0.05,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000517,G04,Senior Consultant,Marketing,Europe Premium,70000,100000,130000,0.08,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000518,G05,Manager,Marketing,Europe Premium,90000,140000,185000,0.12,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000519,G06,Senior Manager,Marketing,Europe Premium,125000,195000,260000,0.18,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000520,G07,Director,Marketing,Europe Premium,155000,285000,415000,0.25,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000521,G08,Partner,Marketing,Europe Premium,250000,630000,1005000,0.4,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000522,G09,Executive,Marketing,Europe Premium,400000,1005000,1610000,0.5,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000523,G01,Intern,Data and Analytics,Europe Premium,23000,30000,38000,0.0,EUR,Germany,0.84,Critical,0.12,AI Builder
CG000524,G02,Analyst,Data and Analytics,Europe Premium,50000,66000,83000,0.03,EUR,Germany,0.84,Critical,0.12,AI Builder
CG000525,G03,Consultant,Data and Analytics,Europe Premium,64000,91000,120000,0.05,EUR,Germany,0.84,Critical,0.12,AI Builder
CG000526,G04,Senior Consultant,Data and Analytics,Europe Premium,85000,120000,160000,0.08,EUR,Germany,0.84,Critical,0.12,AI Builder
CG000527,G05,Manager,Data and Analytics,Europe Premium,110000,170000,225000,0.12,EUR,Germany,0.84,Critical,0.12,AI Builder
CG000528,G06,Senior Manager,Data and Analytics,Europe Premium,150000,235000,315000,0.18,EUR,Germany,0.84,Critical,0.12,AI Builder
CG000529,G07,Director,Data and Analytics,Europe Premium,190000,345000,500000,0.25,EUR,Germany,0.84,Critical,0.12,AI Builder
CG000530,G08,Partner,Data and Analytics,Europe Premium,305000,760000,1220000,0.4,EUR,Germany,0.84,Critical,0.12,AI Builder
CG000531,G09,Executive,Data and Analytics,Europe Premium,490000,1220000,1950000,0.5,EUR,Germany,0.84,Critical,0.12,AI Builder
CG000532,G01,Intern,Operations,Europe Premium,20000,26000,33000,0.0,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000533,G02,Analyst,Operations,Europe Premium,43000,57000,72000,0.03,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000534,G03,Consultant,Operations,Europe Premium,56000,79000,105000,0.05,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000535,G04,Senior Consultant,Operations,Europe Premium,74000,105000,140000,0.08,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000536,G05,Manager,Operations,Europe Premium,95000,145000,195000,0.12,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000537,G06,Senior Manager,Operations,Europe Premium,130000,205000,275000,0.18,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000538,G07,Director,Operations,Europe Premium,165000,300000,435000,0.25,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000539,G08,Partner,Operations,Europe Premium,265000,660000,1060000,0.4,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000540,G09,Executive,Operations,Europe Premium,425000,1060000,1695000,0.5,EUR,Germany,0.84,Medium,0.05,AI-Augmented Professional
CG000541,G01,Intern,Audit Assurance,Asia Emerging,8000,10000,13000,0.0,INR,India,0.32,Medium,0.05,AI-Augmented Professional
CG000542,G02,Analyst,Audit Assurance,Asia Emerging,16000,22000,27000,0.03,INR,India,0.32,Medium,0.05,AI-Augmented Professional
CG000543,G03,Consultant,Audit Assurance,Asia Emerging,21000,30000,39000,0.05,INR,India,0.32,Medium,0.05,AI-Augmented Professional
CG000544,G04,Senior Consultant,Audit Assurance,Asia Emerging,28000,40000,52000,0.08,INR,India,0.32,Medium,0.05,AI-Augmented Professional
CG000545,G05,Manager,Audit Assurance,Asia Emerging,36000,55000,75000,0.12,INR,India,0.32,Medium,0.05,AI-Augmented Professional
CG000546,G06,Senior Manager,Audit Assurance,Asia Emerging,50000,77000,105000,0.18,INR,India,0.32,Medium,0.05,AI-Augmented Professional
